"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"63",118,118,"MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",26.6,NA,NA,NA,45,39,48,39,30,36,"HESP11",NA,"3",35,44,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",119,119,"CF",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",13.5,NA,NA,NA,59,53,64,37,45,50,"HESP12",NA,"3",44,58.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",120,120,"MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",28.5,NA,NA,NA,33,30,34,31,55,43,"HESP12",NA,"3",43,32.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",121,121,"MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",5.9,NA,NA,NA,31,36,30,34,21,15,"HESP14",NA,"3",23.3333333333333,32.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",122,122,"MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",12.3,NA,NA,NA,16,21,21,22,19,21,"HESP17",NA,"3",20.6666666666667,19.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",123,123,"MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",8.3,NA,NA,NA,35,33,31,36,29,34,"HESP18",NA,"3",33,33,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",124,124,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",12.3,NA,NA,NA,26,20,23,32,29,26,"HESP2",NA,"3",29,23,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",125,125,"MG",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",12,NA,NA,NA,39,42,34,41,36,36,"HESP20",NA,"3",37.6666666666667,38.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",126,126,"AB",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,55,29,29,"HESP23",NA,"3",37.6666666666667,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",127,127,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",21.5,NA,NA,NA,29,27,24,144,62,32,"HESP24",NA,"3",79.3333333333333,26.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",128,128,"AB",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,20,10,19,"HESP26",NA,"3",16.3333333333333,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",129,129,"AB",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",6.1,NA,NA,NA,31,32,31,35,44,29,"HESP29",NA,"3",36,31.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",130,130,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",37.2,NA,NA,NA,39,31,37,42,40,38,"HESP3",NA,"3",40,35.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",131,131,"AB",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESP30",NA,"3",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",132,132,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",46,NA,NA,NA,24,20,26,31,31,25,"HESP4",NA,"3",29,23.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",133,133,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",31,NA,NA,NA,63,67,71,302,202,310,"HESP4",NA,"3",271.333333333333,67,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",134,134,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,30,NA,NA,"HESP5",NA,"3",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",135,135,"CF",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",17.4,NA,NA,NA,40,32,33,35,45,31,"HESP6",NA,"3",37,35,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",136,136,"IMS",2013,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESP9",NA,"3",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",150,150,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP1",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",151,151,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP2",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",152,152,"IR",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP3",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",153,153,"IR",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP4",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",154,154,"IR",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP5",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",155,155,"IR",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP6",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",156,156,"IR",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP7",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",157,157,"AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP8",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",158,158,"AB",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15CSP9",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",168,168,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP1",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",169,169,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP10",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",170,170,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP2",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",171,171,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP3",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",172,172,"CF",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP4",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",173,173,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP5",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",174,174,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP6",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",175,175,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP7",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",176,176,"MG",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15ESP8",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",178,178,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSP1",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",179,179,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSP1",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",180,180,"IMS",2015,"Salix pulchra","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSP2",NA,"1",NA,NA,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
