"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm"
"4099","GD","PC16CESr4",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4100","GD","PC16CESr4",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4101","GD","PC16CESr4",2016,"Salix richardsonii","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4102","GD","PC16CESr5",2016,"Salix richardsonii","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4103","GD","PC16CESr5",2016,"Salix richardsonii","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4104","GD","PC16CESr5",2016,"Salix richardsonii","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4105","GD","PC16CESr5",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4106","GD","PC16CESr5",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4107","GD","PC16CESr5",2016,"Salix richardsonii","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4108","IR","PC16CESr6",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4109","IR","PC16CESr6",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4110","IR","PC16CESr6",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4111","IR","PC16CESr6",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4112","IR","PC16CESr6",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4113","IR","PC16CESr6",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4114","IR","PC16CESr7",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4115","IR","PC16CESr7",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4116","IR","PC16CESr7",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4117","IR","PC16CESr7",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4118","IR","PC16CESr7",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4119","IR","PC16CESr7",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4120","IR","PC16CESr8",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121","IR","PC16CESr8",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4122","IR","PC16CESr8",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4123","IR","PC16CESr8",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4124","IR","PC16CESr8",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4125","IR","PC16CESr8",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4126","IR","PC16CESr9",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4127","IR","PC16CESr9",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4128","IR","PC16CESr9",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4129","IR","PC16CESr9",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4130","IR","PC16CESr9",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4131","IR","PC16CESr9",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132","JA","PC16CWSa1",2016,"Salix arctica","Kluane","11/07/2017","7","11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4133","JA","PC16CWSa1",2016,"Salix arctica","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4134","JA","PC16CWSa1",2016,"Salix arctica","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4135","JA","PC16CWSa1",2016,"Salix arctica","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4136","JA","PC16CWSa1",2016,"Salix arctica","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4137","JA","PC16CWSa1",2016,"Salix arctica","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4138","JA","PC16CWSa2",2016,"Salix arctica","Kluane","11/07/2017","7","11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4139","JA","PC16CWSa2",2016,"Salix arctica","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4140","JA","PC16CWSa2",2016,"Salix arctica","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4141","JA","PC16CWSa2",2016,"Salix arctica","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4142","JA","PC16CWSa2",2016,"Salix arctica","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4143","JA","PC16CWSa2",2016,"Salix arctica","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4144","JA","PC16CWSa3",2016,"Salix arctica","Kluane","11/07/2017","7","11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4145","JA","PC16CWSa3",2016,"Salix arctica","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4146","JA","PC16CWSa3",2016,"Salix arctica","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4147","JA","PC16CWSa3",2016,"Salix arctica","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4148","JA","PC16CWSa3",2016,"Salix arctica","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4149","JA","PC16CWSa3",2016,"Salix arctica","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4150","JA","PC16CWSa4",2016,"Salix arctica","Kluane","11/07/2017","7","11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4151","JA","PC16CWSa4",2016,"Salix arctica","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4152","JA","PC16CWSa4",2016,"Salix arctica","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4153","JA","PC16CWSa4",2016,"Salix arctica","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4154","JA","PC16CWSa4",2016,"Salix arctica","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4155","JA","PC16CWSa4",2016,"Salix arctica","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4156","JA","PC16CWSa5",2016,"Salix arctica","Kluane","11/07/2017","7","11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4157","JA","PC16CWSa5",2016,"Salix arctica","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4158","JA","PC16CWSa5",2016,"Salix arctica","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4159","JA","PC16CWSa5",2016,"Salix arctica","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4160","JA","PC16CWSa5",2016,"Salix arctica","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4161","JA","PC16CWSa5",2016,"Salix arctica","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4162","SL","PC16CWSp1",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,"13.5",NA,NA,NA,"44","38","42","1","28","30"
"4163","SL","PC16CWSp1",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,"13.8",NA,NA,NA,"41","43","41","111","58","41"
"4164","SL","PC16CWSp1",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,"14",NA,NA,NA,"44","41","39","141","60","29"
"4165","SL","PC16CWSp1",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,"14.8",NA,NA,NA,"46","41","39","124","49","34"
"4166","SL","PC16CWSp1",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,"15",NA,NA,NA,"42","38","43","78","14","18"
"4167","SL","PC16CWSp1",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4168","SL","PC16CWSp10",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4169","SL","PC16CWSp10",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4170","SL","PC16CWSp10",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4171","SL","PC16CWSp10",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4172","SL","PC16CWSp10",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4173","SL","PC16CWSp10",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4174","SL","PC16CWSp2",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4175","SL","PC16CWSp2",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4176","SL","PC16CWSp2",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4177","SL","PC16CWSp2",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4178","SL","PC16CWSp2",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4179","SL","PC16CWSp2",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4180","SL","PC16CWSp3",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4181","SL","PC16CWSp3",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4182","SL","PC16CWSp3",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4183","SL","PC16CWSp3",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4184","SL","PC16CWSp3",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4185","SL","PC16CWSp3",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4186","SL","PC16CWSp4",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4187","SL","PC16CWSp4",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4188","SL","PC16CWSp4",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4189","SL","PC16CWSp4",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4190","SL","PC16CWSp4",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4191","SL","PC16CWSp4",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4192","SL","PC16CWSp5",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4193","SL","PC16CWSp5",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4194","SL","PC16CWSp5",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4195","SL","PC16CWSp5",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4196","SL","PC16CWSp5",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4197","SL","PC16CWSp5",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4198","SL","PC16CWSp6",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,"10",NA,NA,NA,"32","32","16","46","15","11"
"4199","SL","PC16CWSp6",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,"10.6",NA,NA,NA,"35","29","27","34","31","17"
"4200","SL","PC16CWSp6",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,"10.6",NA,NA,NA,"32","32","18","17","6","6"
"4201","SL","PC16CWSp6",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,"9.6",NA,NA,NA,"34","35","18","44","19","12"
"4202","SL","PC16CWSp6",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,"9.6",NA,NA,NA,"35","34","21","19","1","2"
"4203","SL","PC16CWSp6",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4204","SL","PC16CWSp7",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,"12.6",NA,NA,NA,"56","56","51","120","48","36"
"4205","SL","PC16CWSp7",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,"13.5",NA,NA,NA,"56","59","52","122","49","39"
"4206","SL","PC16CWSp7",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,"13.5",NA,NA,NA,"59","54","49","125","38","30"
"4207","SL","PC16CWSp7",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,"13.7",NA,NA,NA,"58","32","56","85","11","7"
"4208","SL","PC16CWSp7",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,"15",NA,NA,NA,"55","57","57","84","15","10"
"4209","SL","PC16CWSp7",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4210","SL","PC16CWSp8",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4211","SL","PC16CWSp8",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4212","SL","PC16CWSp8",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4213","SL","PC16CWSp8",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4214","SL","PC16CWSp8",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4215","SL","PC16CWSp8",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4216","SL","PC16CWSp9",2016,"Salix pulchra","Kluane","13/08/2017","8","13",2017,"1.7",NA,NA,NA,"40","39","35","64","66",NA
"4217","SL","PC16CWSp9",2016,"Salix pulchra","Kluane","19/07/2017","7","19",2017,"3.4",NA,NA,NA,"40","35","28","79","74",NA
"4218","SL","PC16CWSp9",2016,"Salix pulchra","Kluane","02/08/2017","8","2",2017,"3.8",NA,NA,NA,"40","35","39","58","65",NA
"4219","SL","PC16CWSp9",2016,"Salix pulchra","Kluane","24/07/2017","7","24",2017,"4.9",NA,NA,NA,"41","36","32","89","78",NA
"4220","SL","PC16CWSp9",2016,"Salix pulchra","Kluane","10/07/2017","7","10",2017,"5.7",NA,NA,NA,"42","33","40","66","80",NA
"4221","SL","PC16CWSp9",2016,"Salix pulchra","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4222","AC","PC16CWSr1",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4223","AC","PC16CWSr1",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4224","AC","PC16CWSr1",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4225","AC","PC16CWSr1",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4226","AC","PC16CWSr1",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4227","AC","PC16CWSr1",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4228","AC","PC16CWSr10",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4229","AC","PC16CWSr10",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4230","AC","PC16CWSr10",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4231","AC","PC16CWSr10",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4232","AC","PC16CWSr10",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4233","AC","PC16CWSr10",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4234","AC","PC16CWSr2",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4235","AC","PC16CWSr2",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4236","AC","PC16CWSr2",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4237","AC","PC16CWSr2",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4238","AC","PC16CWSr2",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4239","AC","PC16CWSr2",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4240","AC","PC16CWSr3",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4241","AC","PC16CWSr3",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4242","AC","PC16CWSr3",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4243","AC","PC16CWSr3",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4244","AC","PC16CWSr3",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4245","AC","PC16CWSr3",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4246","AC","PC16CWSr4",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4247","AC","PC16CWSr4",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4248","AC","PC16CWSr4",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4249","AC","PC16CWSr4",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4250","AC","PC16CWSr4",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4251","AC","PC16CWSr4",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4252","AC","PC16CWSr5",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4253","AC","PC16CWSr5",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4254","AC","PC16CWSr5",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4255","AC","PC16CWSr5",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4256","AC","PC16CWSr5",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4257","AC","PC16CWSr5",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4258","AC","PC16CWSr6",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4259","AC","PC16CWSr6",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4260","AC","PC16CWSr6",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4261","AC","PC16CWSr6",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4262","AC","PC16CWSr6",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4263","AC","PC16CWSr6",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4264","AC","PC16CWSr7",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4265","AC","PC16CWSr7",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4266","AC","PC16CWSr7",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4267","AC","PC16CWSr7",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4268","AC","PC16CWSr7",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4269","AC","PC16CWSr7",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4270","AC","PC16CWSr8",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4271","AC","PC16CWSr8",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4272","AC","PC16CWSr8",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4273","AC","PC16CWSr8",2016,"Salix richardsonii","Kluane","06/06/2017","6","6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4274","AC","PC16CWSr8",2016,"Salix richardsonii","Kluane","02/08/2017","8","2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4275","AC","PC16CWSr8",2016,"Salix richardsonii","Kluane","14/08/2017","8","14",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4276","AC","PC16CWSr9",2016,"Salix richardsonii","Kluane","12/07/2017","7","12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4277","AC","PC16CWSr9",2016,"Salix richardsonii","Kluane","20/07/2017","7","20",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4278","AC","PC16CWSr9",2016,"Salix richardsonii","Kluane","26/07/2017","7","26",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
