"","Lat","Lon","Elevation_m","Site","date","Canopy_Height_cm","...8","SampleID","Latitude","Longitude","Elevation","SampleDate","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear","SampleID_standard","...1","Year_measured","Species"
"63",NA,NA,NA,"Kluane",NA,77,NA,"PC17SR13",NA,NA,NA,2017-08-14,136,65,52,45,71,58,54,54,NA,56,55.3333333333333,100.5,"#N/A","Pika Camp",NA,2017-08-16,2017,17.7,29.3,11.3,2017,"PC17SR13",33,NA,"Salix richardsonii"
"64",NA,NA,NA,"Kluane",NA,97,NA,"PC17SR14",NA,NA,NA,2017-08-14,145,109,156,100,85,60,54,58,NA,113.666666666667,57.3333333333333,127,"#N/A","Pika Camp",NA,2017-08-16,2017,23.8,41.3,11.6,2017,"PC17SR14",34,NA,"Salix richardsonii"
"65",NA,NA,NA,"Kluane",NA,109,NA,"PC17SR15",NA,NA,NA,2017-08-14,242,224,84,57,66,61,65,56,NA,69,60.6666666666667,233,"#N/A","Pika Camp",NA,2017-08-16,2017,74.4,36.2,14.8,2017,"PC17SR15",35,NA,"Salix richardsonii"
"66",NA,NA,NA,"Kluane",NA,81,NA,"PP17SR16",NA,NA,NA,2017-08-15,137,121,45,59,57,38,44,41,NA,53.6666666666667,41,129,"#N/A","Printers Pass",NA,2017-08-16,2017,31,35.6,11.3,2017,"PP17SR16",36,NA,"Salix richardsonii"
"67",NA,NA,NA,"Kluane",NA,78.5,NA,"PP17SR17",NA,NA,NA,2017-08-15,154,150,55,50,35,53,50,59,NA,46.6666666666667,54,152,"#N/A","Printers Pass",NA,2017-08-16,2017,25,37.7,14.3,2017,"PP17SR17",37,NA,"Salix richardsonii"
"68",NA,NA,NA,"Kluane",NA,52,NA,"PP17SR18",NA,NA,NA,2017-08-15,102,43,57,51,65,46,50,48,NA,57.6666666666667,48,72.5,"#N/A","Printers Pass",NA,2017-08-16,2017,11,36.5,8.4,2017,"PP17SR18",38,NA,"Salix richardsonii"
"69",NA,NA,NA,"Kluane",NA,45,NA,"PP17SR19",NA,NA,NA,2017-08-15,66,46,30,37,34,41,42,45,NA,33.6666666666667,42.6666666666667,56,"#N/A","Printers Pass",NA,2017-08-16,2017,16,24.2,10,2017,"PP17SR19",39,NA,"Salix richardsonii"
"70",NA,NA,NA,"Kluane",NA,37,NA,"PP17SR20",NA,NA,NA,2017-08-15,32,30,40,31,22,42,44,39,NA,31,41.6666666666667,31,"#N/A","Printers Pass",NA,2017-08-16,2017,11,23.6,10.9,2017,"PP17SR20",40,NA,"Salix richardsonii"
"71",NA,NA,NA,"Kluane",NA,81,NA,"PC17SP1",NA,NA,NA,2017-08-13,73,61,63,58,70,45,53,51,NA,63.6666666666667,49.6666666666667,67,"#N/A","Pika Camp",NA,2017-08-16,2017,19.4,42,9.8,2017,"PC17SP1",41,NA,"Salix pulchra"
"72",NA,NA,NA,"Kluane",NA,28,NA,"PC17SP2",NA,NA,NA,2017-08-13,226,191,26,26,24,45,44,39,NA,25.3333333333333,42.6666666666667,208.5,"#N/A","Pika Camp",NA,2017-08-16,2017,14.5,26.9,10.4,2017,"PC17SP2",42,NA,"Salix pulchra"
"73",NA,NA,NA,"Kluane",NA,40,NA,"PC17SP3",NA,NA,NA,2017-08-13,90,94,86,36,39,57,50,51,NA,53.6666666666667,52.6666666666667,92,"#N/A","Pika Camp",NA,2017-08-16,2017,16.9,27,12.7,2017,"PC17SP3",43,NA,"Salix pulchra"
"74",NA,NA,NA,"Kluane",NA,81,NA,"PC17SP4",NA,NA,NA,2017-08-13,256,191,62,75,107,54,61,49,NA,81.3333333333333,54.6666666666667,223.5,"#N/A","Pika Camp",NA,2017-08-16,2017,49.2,33.6,16.1,2017,"PC17SP4",44,NA,"Salix pulchra"
"75",NA,NA,NA,"Kluane",NA,33,NA,"PC17SP5",NA,NA,NA,2017-08-13,190,137,45,43,25,38,37,35,NA,37.6666666666667,36.6666666666667,163.5,"#N/A","Pika Camp",NA,2017-08-16,2017,18,26.9,14.8,2017,"PC17SP5",45,NA,"Salix pulchra"
"76",NA,NA,NA,"Kluane",NA,49,NA,"PC17SP6",NA,NA,NA,2017-08-14,149,91,46,74,40,45,35,39,NA,53.3333333333333,39.6666666666667,120,"#N/A","Pika Camp",NA,2017-08-16,2017,14.9,35.6,12.7,2017,"PC17SP6",46,NA,"Salix pulchra"
"77",NA,NA,NA,"Kluane",NA,122,NA,"PC17SP7",NA,NA,NA,2017-08-14,211,209,144,128,163,66,70,61,NA,145,65.6666666666667,210,"#N/A","Pika Camp",NA,2017-08-16,2017,53.4,36.1,9.2,2017,"PC17SP7",47,NA,"Salix pulchra"
"78",NA,NA,NA,"Kluane",NA,40,NA,"PC17SP8",NA,NA,NA,2017-08-14,99,102,60,123,155,46,56,66,NA,112.666666666667,56,100.5,"#N/A","Pika Camp",NA,2017-08-16,2017,10.2,29.5,14.8,2017,"PC17SP8",48,NA,"Salix pulchra"
"79",NA,NA,NA,"Kluane",NA,83,NA,"PC17SP9",NA,NA,NA,2017-08-14,222,131,56,64,51,50,47,50,NA,57,49,176.5,"#N/A","Pika Camp",NA,2017-08-16,2017,25,34.5,11.9,2017,"PC17SP9",49,NA,"Salix pulchra"
"80",NA,NA,NA,"Kluane",NA,22,NA,"PC17SP10",NA,NA,NA,2017-08-14,62,51,57,50,50,54,53,55,NA,52.3333333333333,54,56.5,"#N/A","Pika Camp",NA,2017-08-16,2017,11,26.6,14.5,2017,"PC17SP10",50,NA,"Salix pulchra"
"81",NA,NA,NA,"Kluane",NA,90,NA,"PP17SP11",NA,NA,NA,2017-08-15,107,128,98,106,86,52,52,50,NA,96.6666666666667,51.3333333333333,117.5,"#N/A","Printers Pass",NA,2017-08-16,2017,30,41.7,9.6,2017,"PP17SP11",51,NA,"Salix pulchra"
"82",NA,NA,NA,"Kluane",NA,71,NA,"PP17SP12",NA,NA,NA,2017-08-15,71,64,70,42,38,50,52,52,NA,50,51.3333333333333,67.5,"#N/A","Printers Pass",NA,2017-08-16,2017,19,34,11.9,2017,"PP17SP12",52,NA,"Salix pulchra"
"83",NA,NA,NA,"Kluane",NA,58,NA,"PP17SP13",NA,NA,NA,2017-08-15,174,52,46,44,42,51,41,45,NA,44,45.6666666666667,113,"#N/A","Printers Pass",NA,2017-08-16,2017,17,31.6,13.2,2017,"PP17SP13",53,NA,"Salix pulchra"
"84",NA,NA,NA,"Kluane",NA,74,NA,"PP17SP14",NA,NA,NA,2017-08-15,148,137,34,65,42,43,38,42,NA,47,41,142.5,"#N/A","Printers Pass",NA,2017-08-16,2017,25,37,10.1,2017,"PP17SP14",54,NA,"Salix pulchra"
