"","...1","...2","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","...9","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","max_mean_width_cm","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard","Species"
"245",219,210,NA,NA,NA,97,2016,"Kluane",NA,2016-07-05,"KP16SR32",222,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.5,"KP16Sr32","Kluane Plateau",NA,2016-07-06,2016,27,44.8,21.4,"KP16SR32","Salix richardsonii"
"246",220,211,NA,NA,NA,78,2016,"Kluane",NA,2016-07-05,"KP16SR33",179,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.5,"KP16Sr33","Kluane Plateau",NA,2016-07-06,2016,47,43.4,20.7,"KP16SR33","Salix richardsonii"
"247",221,212,NA,NA,NA,71,2016,"Kluane",NA,2016-07-05,"KP16SR34",158,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,"KP16Sr34","Kluane Plateau",NA,2016-07-06,2016,21,33.9,15.6,"KP16SR34","Salix richardsonii"
"248",222,213,NA,NA,NA,72,2016,"Kluane",NA,2016-07-05,"KP16SR35",170,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,"KP16Sr35","Kluane Plateau",NA,2016-07-06,2016,45,38,19.6,"KP16SR35","Salix richardsonii"
"249",223,214,NA,NA,NA,83,2016,"Kluane",NA,2016-07-05,"KP16SR36",130,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5,"KP16Sr36","Kluane Plateau",NA,2016-07-07,2016,32,37.1,17.4,"KP16SR36","Salix richardsonii"
"250",224,215,NA,NA,NA,127,2016,"Kluane",NA,2016-07-05,"KP16SR37",157,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,"KP16Sr37","Kluane Plateau",NA,2016-07-07,2016,33,49.3,15.1,"KP16SR37","Salix richardsonii"
"251",225,216,NA,NA,NA,86,2016,"Kluane",NA,2016-07-05,"KP16SR38",191,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,"KP16Sr38","Kluane Plateau",NA,2016-07-07,2016,31,29,17.5,"KP16SR38","Salix richardsonii"
"252",226,217,NA,NA,NA,86,2016,"Kluane",NA,2016-07-05,"KP16SR39",175,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,"KP16Sr39","Kluane Plateau",NA,2016-07-07,2016,30,34.2,17.6,"KP16SR39","Salix richardsonii"
"253",193,184,NA,NA,NA,81,2016,"Kluane",NA,2016-07-05,"KP16SR4",44,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"KP16SR4","Kluane Plateau",2016-07-06,2016-08-09,2016,25.7,40.6,12.1,"KP16SR4","Salix richardsonii"
"254",342,344,NA,NA,NA,141,2016,"Kluane",NA,2016-08-07,"KP16SR41",102,81,131,142,NA,61,63,NA,NA,NA,NA,91.5,"KP16SR41","Kluane Plateau",NA,2016-08-09,2016,32,43.4,9.1,"KP16SR41","Salix richardsonii"
