"","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","Species","...8","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","biovolume","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard"
"60",NA,NA,NA,3,2017,"Kluane",NA,NA,2017-08-09,"KP17SA3",28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,1596,"#N/A","Kluane Plateau",NA,2017-08-10,2017,10,12.1,7.66,"KP17SA3"
"61",NA,NA,NA,5,2017,"Kluane",NA,NA,2017-08-09,"KP17SA4",57,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,11970,"#N/A","Kluane Plateau",NA,2017-08-10,2017,11,14.9,8.47,"KP17SA4"
"62",NA,NA,NA,5,2017,"Kluane",NA,NA,2017-08-09,"KP17SA5",29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,3625,"#N/A","Kluane Plateau",NA,2017-08-10,2017,8,16.4,12,"KP17SA5"
"63",NA,NA,NA,10,2017,"Kluane",NA,NA,2017-08-09,"KP17SA6",23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2530,"#N/A","Kluane Plateau",NA,2017-08-10,2017,10,9.7,16.45,"KP17SA6"
"64",NA,NA,NA,4,2017,"Kluane",NA,NA,2017-08-09,"KP17SA7",45,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,5760,"#N/A","Kluane Plateau",NA,2017-08-10,2017,45,14.8,7.71,"KP17SA7"
"65",NA,NA,NA,6,2017,"Kluane",NA,NA,2017-08-09,"KP17SA8",61,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,9882,"#N/A","Kluane Plateau",NA,2017-08-10,2017,9,17.4,6.42,"KP17SA8"
"66",NA,NA,NA,4,2017,"Kluane",NA,NA,2017-08-09,"KP17SA9",45,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,7740,"#N/A","Kluane Plateau",NA,2017-08-10,2017,8,13,9.07,"KP17SA9"
"67",NA,NA,NA,5,2017,"Kluane",NA,NA,2017-08-09,"KP17SA10",44,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,10340,"#N/A","Kluane Plateau",NA,2017-08-10,2017,10,12.7,9.9,"KP17SA10"
"68",NA,NA,NA,38.8,2017,"Kluane",NA,NA,2017-08-13,"PC17SR1",47,24,75,70,60,49,40,41,NA,68.3333333333333,43.3333333333333,35.5,43766.4,"#N/A","Pika Camp",NA,2017-08-16,2017,20.3,32.4,12.2,"PC17SR1"
"69",NA,NA,NA,55,2017,"Kluane",NA,NA,2017-08-13,"PC17SR3",68,69,45,38,61,45,44,51,NA,48,46.6666666666667,68.5,258060,"#N/A","Pika Camp",NA,2017-08-16,2017,10.7,38.2,8.4,"PC17SR3"
"70",NA,NA,NA,31,2017,"Kluane",NA,NA,2017-08-13,"PC17SR4",45,36,48,32,33,42,38,41,NA,37.6666666666667,40.3333333333333,40.5,50220,"#N/A","Pika Camp",NA,2017-08-16,2017,9.4,35.5,11.1,"PC17SR4"
"71",NA,NA,NA,66,2017,"Kluane",NA,NA,2017-08-13,"PC17SR5",112,96,37,39,50,54,46,56,NA,42,52,104,709632,"#N/A","Pika Camp",NA,2017-08-16,2017,47.5,33.8,11.8,"PC17SR5"
"72",NA,NA,NA,56,2017,"Kluane",NA,NA,2017-08-13,"PC17SR6",128,52,65,60,70,52,52,46,NA,65,50,90,372736,"#N/A","Pika Camp",NA,2017-08-16,2017,25.6,28.3,12.1,"PC17SR6"
"73",NA,NA,NA,64,2017,"Kluane",NA,NA,2017-08-13,"PC17SR7",157,137,135,84,113,56,50,51,NA,110.666666666667,52.3333333333333,147,1376576,"#N/A","Pika Camp",NA,2017-08-16,2017,21.2,34.7,10.2,"PC17SR7"
"74",NA,NA,NA,64,2017,"Kluane",NA,NA,2017-08-13,"PC17SR8",102,157,64,71,98,40,46,45,NA,77.6666666666667,43.6666666666667,129.5,1024896,"#N/A","Pika Camp",NA,2017-08-16,2017,22.1,41.4,14.2,"PC17SR8"
"75",NA,NA,NA,63,2017,"Kluane",NA,NA,2017-08-13,"PC17SR9",110,72,41,30,18,41,42,38,NA,29.6666666666667,40.3333333333333,91,498960,"#N/A","Pika Camp",NA,2017-08-16,2017,15.5,33.4,13.7,"PC17SR9"
"76",NA,NA,NA,78,2017,"Kluane",NA,NA,2017-08-13,"PC17SR10",109,89,82,65,46,62,53,51,NA,64.3333333333333,55.3333333333333,99,756678,"#N/A","Pika Camp",NA,2017-08-16,2017,51.7,35.3,11.7,"PC17SR10"
"77",NA,NA,NA,80,2017,"Kluane",NA,NA,2017-08-14,"PC17SR11",120,171,73,83,87,63,47,54,NA,81,54.6666666666667,145.5,1641600,"#N/A","Pika Camp",NA,2017-08-16,2017,33.4,38.6,12.1,"PC17SR11"
"78",NA,NA,NA,41,2017,"Kluane",NA,NA,2017-08-14,"PC17SR12",45,60,36,90,51,54,53,51,NA,59,52.6666666666667,52.5,110700,"#N/A","Pika Camp",NA,2017-08-16,2017,8.9,38,8.4,"PC17SR12"
"79",NA,NA,NA,77,2017,"Kluane",NA,NA,2017-08-14,"PC17SR13",136,65,52,45,71,58,54,54,NA,56,55.3333333333333,100.5,680680,"#N/A","Pika Camp",NA,2017-08-16,2017,17.7,29.3,11.3,"PC17SR13"
"80",NA,NA,NA,97,2017,"Kluane",NA,NA,2017-08-14,"PC17SR14",145,109,156,100,85,60,54,58,NA,113.666666666667,57.3333333333333,127,1533085,"#N/A","Pika Camp",NA,2017-08-16,2017,23.8,41.3,11.6,"PC17SR14"
"81",NA,NA,NA,109,2017,"Kluane",NA,NA,2017-08-14,"PC17SR15",242,224,84,57,66,61,65,56,NA,69,60.6666666666667,233,5908672,"#N/A","Pika Camp",NA,2017-08-16,2017,74.4,36.2,14.8,"PC17SR15"
"82",NA,NA,NA,81,2017,"Kluane",NA,NA,2017-08-15,"PP17SR16",137,121,45,59,57,38,44,41,NA,53.6666666666667,41,129,1342737,"#N/A","Printers Pass",NA,2017-08-16,2017,31,35.6,11.3,"PP17SR16"
"83",NA,NA,NA,78.5,2017,"Kluane",NA,NA,2017-08-15,"PP17SR17",154,150,55,50,35,53,50,59,NA,46.6666666666667,54,152,1813350,"#N/A","Printers Pass",NA,2017-08-16,2017,25,37.7,14.3,"PP17SR17"
"84",NA,NA,NA,52,2017,"Kluane",NA,NA,2017-08-15,"PP17SR18",102,43,57,51,65,46,50,48,NA,57.6666666666667,48,72.5,228072,"#N/A","Printers Pass",NA,2017-08-16,2017,11,36.5,8.4,"PP17SR18"
"85",NA,NA,NA,45,2017,"Kluane",NA,NA,2017-08-15,"PP17SR19",66,46,30,37,34,41,42,45,NA,33.6666666666667,42.6666666666667,56,136620,"#N/A","Printers Pass",NA,2017-08-16,2017,16,24.2,10,"PP17SR19"
"86",NA,NA,NA,37,2017,"Kluane",NA,NA,2017-08-15,"PP17SR20",32,30,40,31,22,42,44,39,NA,31,41.6666666666667,31,35520,"#N/A","Printers Pass",NA,2017-08-16,2017,11,23.6,10.9,"PP17SR20"
"87",NA,NA,NA,28,2017,"Kluane",NA,NA,2017-08-13,"PC17SP2",226,191,26,26,24,45,44,39,NA,25.3333333333333,42.6666666666667,208.5,1208648,"#N/A","Pika Camp",NA,2017-08-16,2017,14.5,26.9,10.4,"PC17SP2"
"88",NA,NA,NA,81,2017,"Kluane",NA,NA,2017-08-13,"PC17SP4",256,191,62,75,107,54,61,49,NA,81.3333333333333,54.6666666666667,223.5,3960576,"#N/A","Pika Camp",NA,2017-08-16,2017,49.2,33.6,16.1,"PC17SP4"
"89",NA,NA,NA,33,2017,"Kluane",NA,NA,2017-08-13,"PC17SP5",190,137,45,43,25,38,37,35,NA,37.6666666666667,36.6666666666667,163.5,858990,"#N/A","Pika Camp",NA,2017-08-16,2017,18,26.9,14.8,"PC17SP5"
"90",NA,NA,NA,49,2017,"Kluane",NA,NA,2017-08-14,"PC17SP6",149,91,46,74,40,45,35,39,NA,53.3333333333333,39.6666666666667,120,664391,"#N/A","Pika Camp",NA,2017-08-16,2017,14.9,35.6,12.7,"PC17SP6"
"91",NA,NA,NA,122,2017,"Kluane",NA,NA,2017-08-14,"PC17SP7",211,209,144,128,163,66,70,61,NA,145,65.6666666666667,210,5380078,"#N/A","Pika Camp",NA,2017-08-16,2017,53.4,36.1,9.2,"PC17SP7"
"92",NA,NA,NA,83,2017,"Kluane",NA,NA,2017-08-14,"PC17SP9",222,131,56,64,51,50,47,50,NA,57,49,176.5,2413806,"#N/A","Pika Camp",NA,2017-08-16,2017,25,34.5,11.9,"PC17SP9"
"93",NA,NA,NA,22,2017,"Kluane",NA,NA,2017-08-14,"PC17SP10",62,51,57,50,50,54,53,55,NA,52.3333333333333,54,56.5,69564,"#N/A","Pika Camp",NA,2017-08-16,2017,11,26.6,14.5,"PC17SP10"
"94",NA,NA,NA,90,2017,"Kluane",NA,NA,2017-08-15,"PP17SP11",107,128,98,106,86,52,52,50,NA,96.6666666666667,51.3333333333333,117.5,1232640,"#N/A","Printers Pass",NA,2017-08-16,2017,30,41.7,9.6,"PP17SP11"
"95",NA,NA,NA,58,2017,"Kluane",NA,NA,2017-08-15,"PP17SP13",174,52,46,44,42,51,41,45,NA,44,45.6666666666667,113,524784,"#N/A","Printers Pass",NA,2017-08-16,2017,17,31.6,13.2,"PP17SP13"
"96",NA,NA,NA,74,2017,"Kluane",NA,NA,2017-08-15,"PP17SP14",148,137,34,65,42,43,38,42,NA,47,41,142.5,1500424,"#N/A","Printers Pass",NA,2017-08-16,2017,25,37,10.1,"PP17SP14"
"97",NA,NA,NA,47,2017,"Kluane",NA,NA,2017-08-15,"PP17SP15",225,205,43,77,80,50,51,50,NA,66.6666666666667,50.3333333333333,215,2167875,"#N/A","Printers Pass",NA,2017-08-16,2017,23,34.6,11.9,"PP17SP15"
"98",NA,NA,NA,9.8,2017,"Kluane",NA,NA,2017-08-13,"PC17SA1",102,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5,108956.4,"#N/A","Pika Camp",NA,2017-08-16,2017,5.8,12.1,7.6,"PC17SA1"
