"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"218","PC16CESR3","PC16CESr3","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,59,172,178,33.5,NA,NA,NA,NA,NA,NA,37.9,11.7,"Kluane",2016,NA,NA,175,"PC16CESR3"
"219","PC16CESR4","PC16CESr4","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,46,114,114,40,NA,NA,NA,NA,NA,NA,21.5,11.8,"Kluane",2016,NA,NA,114,"PC16CESR4"
"220","PC16CESR5","PC16CESr5","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,28,28,24,100,NA,NA,NA,NA,NA,NA,22.2,11.7,"Kluane",2016,NA,NA,26,"PC16CESR5"
"221","PC16CESR6","PC16CESr6","Pika Camp",2016-06-30,NA,2016-07-02,2016,42,41,34,11,NA,NA,NA,NA,NA,NA,29,10.8,"Kluane",2016,NA,NA,37.5,"PC16CESR6"
"222","PC16CESR7","PC16CESr7","Pika Camp",2016-06-30,NA,2016-07-02,2016,32,35,33,8,NA,NA,NA,NA,NA,NA,19.2,9.9,"Kluane",2016,NA,NA,34,"PC16CESR7"
"223","PC16CESR8","PC16CESr8","Pika Camp",2016-06-30,NA,2016-07-02,2016,41,41,20,9,NA,NA,NA,NA,NA,NA,31.4,5.5,"Kluane",2016,NA,NA,30.5,"PC16CESR8"
"224","PC16CESR9","PC16CESr9","Pika Camp",2016-06-30,NA,2016-07-02,2016,25,70,62,9,NA,NA,NA,NA,NA,NA,26.6,9.4,"Kluane",2016,NA,NA,66,"PC16CESR9"
"225","PC16CESR10","PC16CESr10","Pika Camp",2016-06-30,NA,2016-07-02,2016,46,88,86,33,NA,NA,NA,NA,NA,NA,28.9,11.2,"Kluane",2016,NA,NA,87,"PC16CESR10"
"226","PC16CESP1","PC16CESp1","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,68,108,82,20.4,NA,NA,NA,NA,NA,NA,34.4,8.6,"Kluane",2016,NA,NA,95,"PC16CESP1"
"227","PC16CESP2","PC16CESp2","Pika Camp",2016-06-30,2016-07-02,2016-08-08,2016,41,130,143,16.3,NA,NA,NA,NA,NA,NA,35.3,11.9,"Kluane",2016,NA,NA,136.5,"PC16CESP2"
