"","Species","Latitude","Longitude","Elevation","Site","SampleDate","Canopy_Height_cm","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear"
"77","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2015-07-26,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"78","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2015-07-26,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"79","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2015-07-26,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"80","Salix pulchra",69.57751,138.91127,67,"Qikiqtaruk",2015-07-26,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"81","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2015-07-26,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"82","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2015-07-26,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"83","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2015-07-26,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"84","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2015-07-26,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"85","Salix pulchra",69.57794,138.94218,40,"Qikiqtaruk",2015-07-26,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"86","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk",2015-07-26,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"87","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk",2015-07-26,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"88","Salix pulchra",69.57891,138.94557,56,"Qikiqtaruk",2015-07-26,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
