"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","X","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","biovolume","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"88","H15SP27",21,17,15,8,11,2016,"Common_garden","Northern","Salix pulchra",17.6666666666667,79,"AB",2015,NA,19,NA,NA,NA,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"89","H15SP28",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,80,"AB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"90","H15SP29",22,17,21,8,11,2016,"Common_garden","Northern","Salix pulchra",20,81,"AB",2015,NA,4.3,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"91","H15SP29",24,23,10,8,11,2016,"Common_garden","Northern","Salix pulchra",19,82,"AB",2015,NA,5.7,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"92","H15SP3",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,83,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"93","H15SP30",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,84,"AB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"94","H15SP4",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,85,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"95","H15SP5",11,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,86,"IMS",2015,NA,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"96","H15SP6",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,87,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"97","H15SP7",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,88,"IMS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"98","H15SP8",30,28,21,8,11,2016,"Common_garden","Northern","Salix pulchra",26.3333333333333,89,"IMS",2015,NA,17,NA,NA,NA,11,9,12,NA,10.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"99","H15SP9",33,36,42,8,11,2016,"Common_garden","Northern","Salix pulchra",37,90,"CF",2015,NA,31.3,NA,NA,NA,27,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"100","H15SR1",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,91,"LB",2015,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"101","H15SR10",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,92,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"102","H15SR11",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,93,"LB",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"103","H15SR12",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,94,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"104","H15SR13",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,95,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"105","H15SR14",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,96,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"106","H15SR15",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,97,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"107","H15SR16",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix richardsonii",NA,98,"SW",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
