"","max_biovol","SampleID_standard","Year","Site","population","Species"
"191",8366.424,"KP17SP1",2023,"Common_garden","Southern","Salix pulchra"
"192",54291.96,"KP17SP12",2023,"Common_garden","Southern","Salix pulchra"
"193",48660.48,"KP17SP2",2023,"Common_garden","Southern","Salix pulchra"
"194",138888.54,"KP17SP5",2023,"Common_garden","Southern","Salix pulchra"
"195",5270.016,"KP17SP9",2023,"Common_garden","Southern","Salix pulchra"
"196",40824,"KP17SR1",2022,"Common_garden","Southern","Salix richardsonii"
"197",29325,"KP17SR2",2022,"Common_garden","Southern","Salix richardsonii"
"198",62100,"KP17SR3",2022,"Common_garden","Southern","Salix richardsonii"
"199",27216,"KP17SR4",2022,"Common_garden","Southern","Salix richardsonii"
"200",688.5,"KP18SA10",2022,"Common_garden","Southern","Salix arctica"
"201",403.225,"KP18SA2",2023,"Common_garden","Southern","Salix arctica"
"202",1216.88,"KP18SA4",2023,"Common_garden","Southern","Salix arctica"
"203",4167.792,"KP18SA8",2023,"Common_garden","Southern","Salix arctica"
"204",217,"KP18SA9",2023,"Common_garden","Southern","Salix arctica"
"205",55566,"KP18SP1",2022,"Common_garden","Southern","Salix pulchra"
"206",364779.54,"KP18SP2",2023,"Common_garden","Southern","Salix pulchra"
"207",5040.449,"KP18SP3",2023,"Common_garden","Southern","Salix pulchra"
"208",36270,"KP18SP4",2022,"Common_garden","Southern","Salix pulchra"
"209",495658.8,"KPSR5",2023,"Common_garden","Southern","Salix richardsonii"
"210",14133.21,"PC16CESA2",2023,"Common_garden","Southern","Salix arctica"
"211",175351.776,"PC16CESP7",2023,"Common_garden","Southern","Salix pulchra"
"212",77520,"PC16CWSP7",2022,"Common_garden","Southern","Salix pulchra"
"213",25517.877,"PC16CWSP9",2023,"Common_garden","Southern","Salix pulchra"
"214",11552.112,"PC17SA1",2023,"Common_garden","Southern","Salix arctica"
"215",881.586,"PC17SA6",2023,"Common_garden","Southern","Salix arctica"
"216",5730.507,"PC17SA7",2023,"Common_garden","Southern","Salix arctica"
"217",544.17,"PC17SA9",2023,"Common_garden","Southern","Salix arctica"
"218",58800,"PC17SP1",2022,"Common_garden","Southern","Salix pulchra"
"219",3089.592,"PC17SP10",2023,"Common_garden","Southern","Salix pulchra"
"220",669.94,"PC17SP3",2023,"Common_garden","Southern","Salix pulchra"
