"Plot Title: Phenology"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)","Good Battery (LGR S/N: 10737643)","Host Connected (LGR S/N: 10737643)","End Of File (LGR S/N: 10737643)"
153,08/02/17 11:00:00  AM,16.654,16.892,3.932,6.889,,,
154,08/02/17 12:00:00  PM,22.298,22.537,3.932,7.419,,,
155,08/02/17 01:00:00  PM,21.270,22.489,3.932,7.945,,,
156,08/02/17 02:00:00  PM,21.557,23.136,3.958,8.369,,,
157,08/02/17 03:00:00  PM,20.984,22.824,4.037,8.965,,,
158,08/02/17 04:00:00  PM,20.531,21.700,4.194,9.114,,,
159,08/02/17 05:00:00  PM,19.674,19.674,4.324,9.287,,,
160,08/02/17 06:00:00  PM,19.365,19.127,4.402,9.238,,,
161,08/02/17 07:00:00  PM,19.460,19.579,4.454,9.312,,,
162,08/02/17 08:00:00  PM,20.698,20.817,4.480,9.361,,,
163,08/02/17 09:00:00  PM,21.342,20.865,4.480,9.336,,,
164,08/02/17 10:00:00  PM,17.724,16.344,4.532,9.188,,,
165,08/02/17 11:00:00  PM,18.937,16.654,4.558,8.891,,,
166,08/03/17 12:00:00  AM,17.106,15.079,4.584,8.693,,,
167,08/03/17 01:00:00  AM,14.745,13.570,4.584,8.394,,,
168,08/03/17 02:00:00  AM,12.025,11.273,4.558,8.170,,,
169,08/03/17 03:00:00  AM,10.222,8.941,4.506,7.820,,,
170,08/03/17 04:00:00  AM,11.200,9.608,4.480,7.494,,,
171,08/03/17 05:00:00  AM,11.613,11.102,4.428,7.318,,,
172,08/03/17 06:00:00  AM,12.437,11.759,4.402,7.343,,,
173,08/03/17 07:00:00  AM,12.195,11.856,4.350,7.318,,,
174,08/03/17 08:00:00  AM,12.461,12.171,4.298,7.293,,,
175,08/03/17 09:00:00  AM,13.209,12.751,4.272,7.293,,,
176,08/03/17 10:00:00  AM,13.040,13.185,4.220,7.343,,,
177,08/03/17 11:00:00  AM,14.242,14.194,4.194,7.419,,,
178,08/03/17 12:00:00  PM,16.487,16.677,4.168,7.670,,,
179,08/03/17 01:00:00  PM,15.891,16.701,4.168,8.020,,,
180,08/03/17 02:00:00  PM,18.985,22.178,4.168,8.369,,,
181,08/03/17 03:00:00  PM,18.723,21.175,4.194,8.916,,,
182,08/03/17 04:00:00  PM,18.033,19.698,4.246,9.188,,,
183,08/03/17 05:00:00  PM,17.130,18.033,4.272,9.262,,,
184,08/03/17 06:00:00  PM,15.819,16.654,4.324,9.213,,,
185,08/03/17 07:00:00  PM,15.581,16.106,4.350,9.064,,,
186,08/03/17 08:00:00  PM,13.594,14.050,4.402,8.891,,,
187,08/03/17 09:00:00  PM,12.775,13.064,4.402,8.668,,,
188,08/03/17 10:00:00  PM,11.856,12.050,4.454,8.444,,,
189,08/03/17 11:00:00  PM,11.102,10.980,4.454,8.220,,,
190,08/04/17 12:00:00  AM,10.222,10.247,4.454,7.970,,,
191,08/04/17 01:00:00  AM,9.460,9.287,4.454,7.770,,,
192,08/04/17 02:00:00  AM,9.015,8.767,4.428,7.544,,,
193,08/04/17 03:00:00  AM,8.742,8.568,4.402,7.368,,,
194,08/04/17 04:00:00  AM,8.593,8.444,4.376,7.217,,,
195,08/04/17 05:00:00  AM,8.419,8.295,4.350,6.484,,,
196,08/04/17 06:00:00  AM,8.245,7.970,4.298,9.952,,,
197,08/04/17 07:00:00  AM,8.070,7.845,4.272,9.410,,,
198,08/04/17 08:00:00  AM,7.895,7.619,4.220,9.287,,,
199,08/04/17 09:00:00  AM,7.544,7.293,4.168,9.188,,,
200,08/04/17 10:00:00  AM,7.745,7.594,4.115,9.139,,,
201,08/04/17 11:00:00  AM,7.242,7.015,4.063,9.114,,,
202,08/04/17 12:00:00  PM,7.720,7.569,4.011,9.163,,,
203,08/04/17 01:00:00  PM,7.670,7.569,3.958,9.262,,,
204,08/04/17 02:00:00  PM,7.945,8.045,3.906,9.238,,,
205,08/04/17 03:00:00  PM,8.145,8.344,3.854,9.238,,,
206,08/04/17 04:00:00  PM,8.519,8.717,3.827,9.213,,,
207,08/04/17 05:00:00  PM,8.693,9.287,3.775,7.745,,,
208,08/04/17 06:00:00  PM,9.040,9.534,3.749,7.015,,,
209,08/04/17 07:00:00  PM,9.336,10.516,3.722,7.242,,,
210,08/04/17 08:00:00  PM,9.632,9.731,3.696,7.242,,,
211,08/04/17 09:00:00  PM,6.990,7.519,3.670,6.535,,,
212,08/04/17 10:00:00  PM,6.788,6.382,3.670,6.357,,,
213,08/04/17 11:00:00  PM,6.687,6.737,3.643,6.128,,,
214,08/05/17 12:00:00  AM,6.839,6.484,3.617,5.949,,,
215,08/05/17 01:00:00  AM,7.192,6.712,3.591,5.770,,,
216,08/05/17 02:00:00  AM,6.382,5.745,3.591,5.668,,,
217,08/05/17 03:00:00  AM,6.737,5.821,3.538,5.488,,,
218,08/05/17 04:00:00  AM,7.066,6.230,3.512,5.308,,,
219,08/05/17 05:00:00  AM,7.343,6.509,3.485,5.205,,,
220,08/05/17 06:00:00  AM,7.419,6.560,3.459,5.128,,,
221,08/05/17 07:00:00  AM,7.995,6.763,3.433,5.076,,,
222,08/05/17 08:00:00  AM,9.312,7.920,3.380,5.050,,,
223,08/05/17 09:00:00  AM,10.663,9.262,3.327,5.102,,,
224,08/05/17 10:00:00  AM,11.783,11.394,3.301,5.231,,,
225,08/05/17 11:00:00  AM,13.209,13.714,3.274,5.462,,,
226,08/05/17 12:00:00  PM,13.618,14.337,3.248,5.796,,,
227,08/05/17 01:00:00  PM,14.673,16.892,3.248,6.230,,,
228,08/05/17 02:00:00  PM,15.748,17.534,3.248,6.788,,,
229,08/05/17 03:00:00  PM,18.866,20.579,3.274,7.494,,,
230,08/05/17 04:00:00  PM,18.818,20.746,3.327,8.195,,,
231,08/05/17 05:00:00  PM,21.581,20.365,3.406,8.643,,,
232,08/05/17 06:00:00  PM,23.857,21.819,3.485,8.891,,,
233,08/05/17 07:00:00  PM,18.961,19.698,3.591,9.015,,,
