#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)",Good Battery (LGR S/N: 10737643),Host Connected (LGR S/N: 10737643),End Of File (LGR S/N: 10737643)
245,2008-06-17 7:00,10.785,10.663,3.985,6.965,,,
246,2008-06-17 8:00,10.663,10.712,3.985,6.94,,,
247,2008-06-17 9:00,10.663,10.81,3.958,6.94,,,
248,2008-06-17 10:00,10.785,10.98,3.932,6.914,,,
249,2008-06-17 11:00,11.175,11.37,3.932,6.914,,,
250,2008-06-17 12:00,11.516,11.734,3.906,6.914,,,
251,2008-06-17 13:00,11.516,11.807,3.88,6.965,,,
252,2008-06-17 14:00,11.637,12.195,3.88,7.015,,,
253,2008-06-17 15:00,11.856,12.751,3.854,7.091,,,
254,2008-06-17 16:00,11.297,11.88,3.854,7.142,,,
255,2008-06-17 17:00,11.175,11.589,3.854,7.091,,,
256,2008-06-17 18:00,10.932,11.394,3.88,7.066,,,
257,2008-06-17 19:00,10.59,11.151,3.854,7.015,,,
258,2008-06-17 20:00,10.418,10.761,3.88,6.965,,,
259,2008-06-17 21:00,10.222,10.296,3.854,6.914,,,
260,2008-06-17 22:00,10.124,10.124,3.906,7.015,,,
261,2008-06-17 23:00,10.198,10.149,3.88,7.015,,,
262,2008-07-17 0:00,10.467,10.149,3.88,6.99,,,
263,2008-07-17 1:00,10.81,10.369,3.854,6.94,,,
264,2008-07-17 2:00,10.98,10.541,3.827,6.965,,,
265,2008-07-17 3:00,10.858,10.834,3.827,6.889,,,
266,2008-07-17 4:00,10.638,10.565,3.801,6.839,,,
267,2008-07-17 5:00,10.81,10.712,3.749,6.788,,,
268,2008-07-17 6:00,11.175,10.932,3.749,6.763,,,
269,2008-07-17 7:00,11.297,11.102,3.722,6.763,,,
270,2008-07-17 8:00,12.074,11.662,3.722,6.763,,,
271,2008-07-17 9:00,12.268,12.171,3.696,6.839,,,
272,2008-07-17 10:00,12.074,12.292,3.696,6.94,,,
273,2008-07-17 11:00,12.799,13.137,3.67,7.041,,,
274,2008-07-17 12:00,14.17,14.768,3.696,7.293,,,
275,2008-07-17 13:00,18.343,19.27,3.696,7.67,,,
276,2008-07-17 14:00,19.984,21.103,3.722,8.07,,,
277,2008-07-17 15:00,20.436,20.722,3.801,8.618,,,
278,2008-07-17 16:00,18.01,18.533,3.854,9.04,,,
279,2008-07-17 17:00,16.201,16.892,3.906,9.188,,,
280,2008-07-17 18:00,17.225,18.485,4.011,9.262,,,
281,2008-07-17 19:00,16.725,16.796,4.115,9.238,,,
282,2008-07-17 20:00,13.642,14.146,4.194,9.114,,,
283,2008-07-17 21:00,12.92,13.353,4.246,8.916,,,
284,2008-07-17 22:00,12.968,12.678,4.298,8.693,,,
285,2008-07-17 23:00,12.558,12.34,4.324,8.494,,,
286,2008-08-17 0:00,13.137,12.63,4.376,8.419,,,
287,2008-08-17 1:00,12.727,11.759,4.376,8.344,,,
288,2008-08-17 2:00,13.016,12.461,4.402,8.17,,,
289,2008-08-17 3:00,13.57,12.799,4.558,8.22,,,
290,2008-08-17 4:00,13.57,12.678,4.532,8.245,,,
291,2008-08-17 5:00,14.337,13.137,4.558,8.319,,,
292,2008-08-17 6:00,13.81,12.968,4.532,8.319,,,
293,2008-08-17 7:00,11.175,10.785,4.532,8.245,,,
294,2008-08-17 8:00,11.419,11.029,4.532,8.07,,,
295,2008-08-17 9:00,11.394,11.102,4.532,7.945,,,
296,2008-08-17 10:00,11.029,11.078,4.506,7.845,,,
297,2008-08-17 11:00,10.663,10.785,4.48,7.77,,,
298,2008-08-17 12:00,10.956,11.2,4.454,7.72,,,
299,2008-08-17 13:00,11.88,12.413,4.428,7.72,,,
300,2008-08-17 14:00,10.98,11.321,4.402,7.77,,,
301,2008-08-17 15:00,10.663,10.907,4.376,7.72,,,
302,2008-08-17 16:00,10.467,10.81,4.35,7.645,,,
303,2008-08-17 17:00,10.736,10.956,4.402,7.645,,,
304,2008-08-17 18:00,11.127,11.321,4.35,7.645,,,
305,2008-08-17 19:00,10.98,11.637,4.324,7.67,,,
306,2008-08-17 20:00,10.394,10.81,4.324,7.645,,,
307,2008-08-17 21:00,10.149,10.369,4.298,7.544,,,
308,2008-08-17 22:00,10.198,10.1,4.298,7.393,,,
309,2008-08-17 23:00,10.1,9.731,4.298,7.242,,,
310,2008-09-17 0:00,9.952,9.608,4.298,7.116,,,
311,2008-09-17 1:00,9.854,9.262,4.272,6.99,,,
312,2008-09-17 2:00,9.682,8.643,4.246,6.839,,,
313,2008-09-17 3:00,10.443,9.558,4.194,6.687,,,
314,2008-09-17 4:00,9.558,8.344,4.168,6.585,,,
315,2008-09-17 5:00,9.064,6.864,4.115,6.382,,,
316,2008-09-17 6:00,9.04,6.128,4.037,6.128,,,
317,2008-09-17 7:00,10.394,8.717,3.985,5.898,,,
318,2008-09-17 8:00,13.04,8.941,3.932,5.796,,,
319,2008-09-17 9:00,16.701,12.001,3.854,5.796,,,
320,2008-09-17 10:00,18.889,16.415,3.801,5.949,,,
321,2008-09-17 11:00,20.365,19.199,3.749,6.331,,,
322,2008-09-17 12:00,22.034,19.936,3.722,6.889,,,
323,2008-09-17 13:00,20.412,20.531,3.722,7.444,,,
324,2008-09-17 14:00,21.366,20.841,3.749,8.02,,,
325,2008-09-17 15:00,17.368,18.01,3.827,8.618,,,
326,2008-09-17 16:00,20.222,18.842,3.88,8.841,,,
327,2008-09-17 17:00,17.819,16.677,3.958,8.866,,,
328,2008-09-17 18:00,16.939,15.581,4.037,8.792,,,
329,2008-09-17 19:00,16.654,15.605,4.115,8.643,,,
330,2008-09-17 20:00,16.272,16.01,4.168,8.543,,,
331,2008-09-17 21:00,14.505,14.17,4.22,8.419,,,
332,2008-09-17 22:00,13.762,13.281,4.272,8.27,,,
333,2008-09-17 23:00,12.534,12.195,4.298,8.12,,,
334,2008-10-17 0:00,11.734,11.419,4.324,7.92,,,
335,2008-10-17 1:00,11.467,10.712,4.324,7.72,,,
336,2008-10-17 2:00,11.734,10.785,4.324,7.444,,,
337,2008-10-17 3:00,11.904,10.736,4.324,7.293,,,
338,2008-10-17 4:00,12.001,10.614,4.298,7.142,,,
339,2008-10-17 5:00,12.316,10.736,4.298,7.041,,,
340,2008-10-17 6:00,11.977,10.492,4.246,6.94,,,
341,2008-10-17 7:00,12.219,10.932,4.246,6.864,,,
342,2008-10-17 8:00,9.928,9.879,4.22,6.788,,,
343,2008-10-17 9:00,9.114,8.99,4.194,6.788,,,
344,2008-10-17 10:00,8.866,8.841,4.168,6.687,,,
345,2008-10-17 11:00,9.064,9.064,4.115,6.56,,,
346,2008-10-17 12:00,8.693,8.767,4.063,6.484,,,
347,2008-10-17 13:00,8.916,8.941,4.037,6.382,,,
348,2008-10-17 14:00,8.519,8.668,4.011,6.306,,,
349,2008-10-17 15:00,8.668,9.213,3.958,6.281,,,
350,2008-10-17 16:00,9.682,10.075,3.932,6.306,,,
351,2008-10-17 17:00,10.467,10.858,3.88,6.433,,,
352,2008-10-17 18:00,10.687,11.589,3.854,6.56,,,
353,2008-10-17 19:00,10.516,11.443,3.827,6.636,,,
354,2008-10-17 20:00,9.977,10.296,3.827,6.687,,,
355,2008-10-17 21:00,10.222,10.369,3.801,6.636,,,
356,2008-10-17 22:00,10.198,10.198,3.801,6.585,,,
357,2008-10-17 23:00,10.051,9.805,3.827,6.509,,,
358,2008-11-17 0:00,9.78,9.336,3.827,6.408,,,
359,2008-11-17 1:00,9.509,9.213,3.801,6.306,,,
360,2008-11-17 2:00,9.829,9.435,3.775,6.204,,,
361,2008-11-17 3:00,10.1,9.632,3.749,6.153,,,
362,2008-11-17 4:00,10.198,9.879,3.722,6.102,,,
363,2008-11-17 5:00,9.977,9.632,3.722,6.077,,,
364,2008-11-17 6:00,8.344,7.995,3.67,6.026,,,
365,2008-11-17 7:00,8.891,7.544,3.67,5.898,,,
366,2008-11-17 8:00,12.268,8.891,3.617,5.719,,,
367,2008-11-17 9:00,12.799,10.467,3.591,5.668,,,
368,2008-11-17 10:00,14.912,12.992,3.564,5.719,,,
369,2008-11-17 11:00,16.106,15.748,3.538,5.924,,,
370,2008-11-17 12:00,17.843,17.772,3.512,6.281,,,
371,2008-11-17 13:00,18.081,18.057,3.538,6.788,,,
372,2008-11-17 14:00,15.986,15.39,3.538,7.217,,,
373,2008-11-17 15:00,17.368,16.129,3.591,7.368,,,
374,2008-11-17 16:00,17.558,16.844,3.617,7.569,,,
375,2008-11-17 17:00,13.185,14.577,3.696,7.77,,,
376,2008-11-17 18:00,13.353,14.146,3.749,7.795,,,
377,2008-11-17 19:00,16.058,15.915,3.801,7.82,,,
378,2008-11-17 20:00,13.978,13.954,3.827,7.87,,,
379,2008-11-17 21:00,15.676,16.296,3.88,7.82,,,
380,2008-11-17 22:00,13.497,12.292,3.932,7.72,,,
381,2008-11-17 23:00,12.751,10.271,3.958,7.519,,,
382,2008-12-17 0:00,9.064,8.095,3.985,7.242,,,
383,2008-12-17 1:00,9.46,8.618,4.011,6.864,,,
384,2008-12-17 2:00,10.59,9.879,4.011,6.585,,,
385,2008-12-17 3:00,11.175,10.59,3.985,6.509,,,
386,2008-12-17 4:00,11.078,10.712,3.958,6.509,,,
387,2008-12-17 5:00,10.247,10.173,3.958,6.509,,,
388,2008-12-17 6:00,10.541,10.443,3.906,6.408,,,
389,2008-12-17 7:00,10.883,10.736,3.906,6.331,,,
390,2008-12-17 8:00,10.1,10.1,3.906,6.281,,,
391,2008-12-17 9:00,9.805,9.903,3.985,6.23,,,
392,2008-12-17 10:00,10.1,10.394,3.88,6.204,,,
