"","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"109",109,"AC","H15Sr28",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR28",NA,1,NA,NA,NA,"Northern"
"110",110,"LB","H15Sr3",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,1.7,NA,NA,NA,11,16,NA,14,NA,NA,"H15SR3",NA,1,NA,NA,NA,"Northern"
"111",111,"AC","H15Sr30",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30",NA,1,NA,NA,NA,"Northern"
"112",112,"LB","H15Sr4",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4",NA,1,NA,NA,NA,"Northern"
"113",113,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR5",NA,1,NA,NA,NA,"Northern"
"114",114,"LB","H15Sr6",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6",NA,1,NA,NA,NA,"Northern"
"115",115,"LB","H15Sr7",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR7",NA,1,NA,NA,NA,"Northern"
"116",116,"LB","H15Sr8",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8",NA,1,NA,NA,NA,"Northern"
"117",117,"LB","H15Sr9",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9",NA,1,NA,NA,NA,"Northern"
"118",118,"MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,26.6,NA,NA,NA,45,39,48,39,30,36,"HESP11",NA,3,35,44,NA,"Northern"
