Sample_ID,Match,Species,Sample_location,Sample_location_full,Year_planted
H15Sa7,H15Sa7,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa8,H15Sa8,Salix arctica,Qikiqtaruk,QHI,2015
H15Sa9,H15Sa9,Salix arctica,Qikiqtaruk,QHI,2015
H15Sp1,H15Sp1,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp10,H15Sp10,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp11,H15Sp11,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp12,H15Sp12,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp13,H15Sp13,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp14,H15Sp14,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp15,H15Sp15,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp16,H15Sp16,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp17,H15Sp17,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp18,H15Sp18,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp19,H15Sp19,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp2,H15Sp2,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp20,H15Sp20,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp21,H15Sp21,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp22,H15Sp22,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp23,H15Sp23,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp24,H15Sp24,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp25,H15SP25,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp26,H15sp26,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp27,H15Sp27,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp28,H15SP28,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp29,H15Sp29,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp3,H15Sp3,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp30,H15Sp30,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp4,H15Sp4,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp5,H15Sp5,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp6,H15Sp6,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp7,H15Sp7,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp8,H15Sp8,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sp9,H15Sp9,Salix pulchra,Qikiqtaruk,QHI,2015
H15Sr1,H15Sr1,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr10,H15Sr10,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr11,H15Sr11,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr12,H15Sr12,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr13,H15Sr13,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr14,H15Sr14,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr15,H15Sr15,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr16,H15Sr16,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr17,H15Sr17,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr18,H15Sr18,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr19,H15Sr19,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr2,H15Sr2,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr20,H15Sr20,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr21,H15Sr21,Salix richardsonii,Qikiqtaruk,QHI,2015
H15Sr22,H15Sr22,Salix richardsonii,Qikiqtaruk,QHI,2015
