"","Match","Species","Sample_location","Sample_location_full","Date_sampled","Date_propagated","Date_planted","Year_planted","Mother_height","Mother_CW_1","Mother_CW_2","Mother_LS","Mother_LL1","Mother_LL2","Mother_LL3","Mother_SE1","Mother_SE2","Mother_SE3","Mother_Sex","Cutting_length","Cutting_diameter","Cutting_age","Year_dead","Survived_2014","Survived_2015","Survived_2016","Survived_2017","Survived_2018","Survived_2019","Survived_2020","Survived_2021","Bed","Row","Column","Notes","Field_notes","Data_notes","SampleID","SampleID_standard","population","Survived_2023","Survived_2022"
"10047",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,43.3,NA,NA,NA,46,44,43,35,26,"41","Female",44.2,"12.35",14,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr4","H18SR4",NA,NA,NA
"10048",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,41.5,NA,NA,NA,3.4,4.2,4.2,3.9,5.6,"4.4","Female",39.1,"8.65",7,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr5","H18SR5",NA,NA,NA
"10049",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,41.5,NA,NA,NA,3.4,4.2,4.2,3.9,5.6,"4.4","Female",39.1,"8.65",7,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr5","H18SR5",NA,NA,NA
"10050",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,41.5,NA,NA,NA,3.4,4.2,4.2,3.9,5.6,"4.4","Female",39.1,"8.65",7,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr5","H18SR5",NA,NA,NA
"10051",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,41.5,NA,NA,NA,3.4,4.2,4.2,3.9,5.6,"4.4","Female",39.1,"8.65",7,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr5","H18SR5",NA,NA,NA
"10052",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,62.1,NA,NA,NA,41,46,54,40,48,"54","Female",66.1,"10.6",8,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr7","H18SR7",NA,NA,NA
"10053",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,62.1,NA,NA,NA,41,46,54,40,48,"54","Female",66.1,"10.6",8,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr7","H18SR7",NA,NA,NA
"10054",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,62.1,NA,NA,NA,41,46,54,40,48,"54","Female",66.1,"10.6",8,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr7","H18SR7",NA,NA,NA
"10055",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,62.1,NA,NA,NA,41,46,54,40,48,"54","Female",66.1,"10.6",8,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr7","H18SR7",NA,NA,NA
"10056",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,73,NA,NA,NA,54,46,38,114,89,"48","Male",78.2,"13.08",15,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr9","H18SR9",NA,NA,NA
"10057",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,73,NA,NA,NA,54,46,38,114,89,"48","Male",78.2,"13.08",15,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr9","H18SR9",NA,NA,NA
"10058",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,73,NA,NA,NA,54,46,38,114,89,"48","Male",78.2,"13.08",15,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr9","H18SR9",NA,NA,NA
"10059",NA,"Salix richardsonii","Qikiqtaruk","Qikiqtaruk","09/08/2018",NA,"20/08/2018",2018,73,NA,NA,NA,54,46,38,114,89,"48","Male",78.2,"13.08",15,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"H18Sr9","H18SR9",NA,NA,NA
"10060",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,5.1,NA,NA,NA,44,44,50,15,4,"7","Female",18.4,"7.4",9,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa5","KP18SA5","Southern","0","0"
"10061",NA,"Salix arctica","Kluane","Kluane Plateau","22/08/2018",NA,"23/08/2018",2018,5.1,NA,NA,NA,44,44,50,15,4,"7","Female",18.4,"7.4",9,"2018",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"Marked as no signs of life in 2019","KP18Sa5","KP18SA5","Southern","0","0"
