,X,Bed,Year_planted,Species,Site,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter,Length_1_mm,Length_2_mm,Length_3_mm,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,SampleID_standard,biovolume,mean_stem_elong,mean_leaf_length,mean_width,population,Latitude,Longitude,Elevation,Date_propagated,Date_planted,Mother_LS,Cutting_length,Cutting_diameter,Sample_ID,July_2023_notes,Sample_age
69,69,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,10.6,NA,NA,NA,46,44,35,40,NA,NA,H15SP18,NA,NA,41.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
70,70,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,5.3,NA,NA,NA,35,27,30,42,NA,NA,H15SP19,NA,NA,30.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
71,71,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,31,NA,NA,NA,17,21,14,23,22,18,H15SP2,NA,21,17.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
72,72,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,3.2,NA,NA,NA,33,NA,NA,29,NA,NA,H15SP20,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73,73,MG,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP21,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74,74,MG,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP22,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
75,75,MG,2015,Salix pulchra,Common_garden,NA,8,11,2016,9.5,NA,NA,NA,NA,NA,NA,19,16,NA,H15SP23,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
76,76,MG,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP24,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
77,77,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,3.6,NA,NA,NA,23,21,19,22,NA,NA,H15SP25,NA,NA,21,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
78,78,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP26,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
79,79,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,19,NA,NA,NA,21,17,15,18,13,NA,H15SP27,NA,NA,17.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
80,80,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP28,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
81,81,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,4.3,NA,NA,NA,22,17,21,20,NA,NA,H15SP29,NA,NA,20,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
82,82,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,5.7,NA,NA,NA,24,23,10,23,NA,NA,H15SP29,NA,NA,19,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
83,83,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP3,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
84,84,AB,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP30,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
85,85,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP4,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
86,86,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,1,NA,NA,NA,11,NA,NA,16,NA,NA,H15SP5,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
87,87,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP6,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
88,88,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SP7,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
89,89,IMS,2015,Salix pulchra,Common_garden,NA,8,11,2016,17,NA,NA,NA,30,28,21,11,9,12,H15SP8,NA,10.66666667,26.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
90,90,CF,2015,Salix pulchra,Common_garden,NA,8,11,2016,31.3,NA,NA,NA,33,36,42,27,9,NA,H15SP9,NA,NA,37,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
91,91,LB,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,H15SR1,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
92,92,LB,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR10,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
93,93,LB,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR11,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
94,94,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR12,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
95,95,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR13,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
96,96,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR14,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
97,97,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR15,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
98,98,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR16,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
99,99,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR17,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100,100,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR18,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
101,101,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,5.4,NA,NA,NA,29,31,10,15,NA,NA,H15SR19,NA,NA,23.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
102,102,LB,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR2,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
103,103,SW,2015,Salix richardsonii,Common_garden,NA,8,11,2016,5.4,NA,NA,NA,21,25,19,7,NA,NA,H15SR20,NA,NA,21.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
104,104,IR,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR21,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
105,105,IR,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR22,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
106,106,IR,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR23,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
107,107,IR,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR24,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
108,108,AC,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR25,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
109,109,AC,2015,Salix richardsonii,Common_garden,NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H15SR28,NA,NA,NA,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
