"","max_canopy_height_cm","SampleID_standard","Year","Site","population","Species"
"226",42.2,"KP16SP33",2021,"Common_garden","Southern","Salix pulchra"
"227",17,"KP16SP34",2017,"Common_garden","Southern","Salix pulchra"
"228",7.9,"KP16SP39",2023,"Common_garden","Southern","Salix pulchra"
"229",11.3,"KP16SP41",2020,"Common_garden","Southern","Salix pulchra"
"230",24.5,"KP16SP43",2017,"Common_garden","Southern","Salix pulchra"
"231",25.5,"KP16SP45",2017,"Common_garden","Southern","Salix pulchra"
"232",27.5,"KP16SP46",2017,"Common_garden","Southern","Salix pulchra"
"233",32,"KP16SP51",2017,"Common_garden","Southern","Salix pulchra"
"234",24.5,"KP16SP52",2017,"Common_garden","Southern","Salix pulchra"
"235",26.9,"KP16SP55",2020,"Common_garden","Southern","Salix pulchra"
"236",41.1,"KP16SP56",2023,"Common_garden","Southern","Salix pulchra"
"237",18.5,"KP16SP57",2017,"Common_garden","Southern","Salix pulchra"
"238",22.3,"KP16SP59",2023,"Common_garden","Southern","Salix pulchra"
"239",34.3,"KP16SP60",2023,"Common_garden","Southern","Salix pulchra"
"240",7,"KP16SR1",2018,"Common_garden","Southern","Salix richardsonii"
"241",1.6,"KP16SR19",2017,"Common_garden","Southern","Salix richardsonii"
"242",31.2,"KP16SR26",2021,"Common_garden","Southern","Salix richardsonii"
"243",35.6,"KP16SR27",2021,"Common_garden","Southern","Salix richardsonii"
"244",47.4,"KP16SR36",2023,"Common_garden","Southern","Salix richardsonii"
"245",83,"KP16SR37",2022,"Common_garden","Southern","Salix richardsonii"
"246",29,"KP16SR41",2022,"Common_garden","Southern","Salix richardsonii"
"247",38,"KP16SR51",2022,"Common_garden","Southern","Salix richardsonii"
"248",45,"KP16SR52",2022,"Common_garden","Southern","Salix richardsonii"
"249",21.6,"KP16SR53",2023,"Common_garden","Southern","Salix richardsonii"
"250",76,"KP16SR57",2022,"Common_garden","Southern","Salix richardsonii"
"251",46,"KP16SR58",2022,"Common_garden","Southern","Salix richardsonii"
"252",56,"KP16SR60",2023,"Common_garden","Southern","Salix richardsonii"
"253",3.4,"KP17SA10",2019,"Common_garden","Southern","Salix arctica"
"254",4.8,"KP17SA2",2021,"Common_garden","Southern","Salix arctica"
"255",4.4,"KP17SA4",2023,"Common_garden","Southern","Salix arctica"
"256",5.5,"KP17SA6",2022,"Common_garden","Southern","Salix arctica"
"257",2.4,"KP17SA8",2018,"Common_garden","Southern","Salix arctica"
"258",6.8,"KP17SA9",2023,"Common_garden","Southern","Salix arctica"
"259",25.8,"KP17SP1",2023,"Common_garden","Southern","Salix pulchra"
"260",32.2,"KP17SP12",2020,"Common_garden","Southern","Salix pulchra"
"261",14,"KP17SP14",2018,"Common_garden","Southern","Salix pulchra"
"262",21.5,"KP17SP2",2021,"Common_garden","Southern","Salix pulchra"
"263",36.2,"KP17SP5",2023,"Common_garden","Southern","Salix pulchra"
"264",14.8,"KP17SP9",2021,"Common_garden","Southern","Salix pulchra"
"265",29.8,"KP17SR1",2023,"Common_garden","Southern","Salix richardsonii"
"266",34.5,"KP17SR2",2022,"Common_garden","Southern","Salix richardsonii"
"267",38,"KP17SR3",2021,"Common_garden","Southern","Salix richardsonii"
"268",27,"KP17SR4",2021,"Common_garden","Southern","Salix richardsonii"
"269",0.6,"KP18SA1",2019,"Common_garden","Southern","Salix arctica"
"270",4.5,"KP18SA10",2022,"Common_garden","Southern","Salix arctica"
"271",3.5,"KP18SA2",2022,"Common_garden","Southern","Salix arctica"
"272",1.5,"KP18SA3",2019,"Common_garden","Southern","Salix arctica"
"273",3.8,"KP18SA4",2021,"Common_garden","Southern","Salix arctica"
"274",10.3,"KP18SA8",2023,"Common_garden","Southern","Salix arctica"
"275",3.5,"KP18SA9",2022,"Common_garden","Southern","Salix arctica"
"276",27,"KP18SP1",2022,"Common_garden","Southern","Salix pulchra"
"277",71,"KP18SP2",2023,"Common_garden","Southern","Salix pulchra"
"278",32.8,"KP18SP3",2019,"Common_garden","Southern","Salix pulchra"
"279",26,"KP18SP4",2022,"Common_garden","Southern","Salix pulchra"
"280",54,"KPSR5",2021,"Common_garden","Southern","Salix richardsonii"
"281",10.5,"PC16CESA2",2023,"Common_garden","Southern","Salix arctica"
"282",35.4,"PC16CESP7",2023,"Common_garden","Southern","Salix pulchra"
"283",13.5,"PC16CWSP1",2017,"Common_garden","Southern","Salix pulchra"
"284",10.6,"PC16CWSP6",2017,"Common_garden","Southern","Salix pulchra"
"285",60,"PC16CWSP7",2022,"Common_garden","Southern","Salix pulchra"
"286",14.7,"PC16CWSP9",2023,"Common_garden","Southern","Salix pulchra"
"287",6.4,"PC16PVSP8",2017,"Common_garden","Southern","Salix pulchra"
"288",10.2,"PC17SA1",2023,"Common_garden","Southern","Salix arctica"
"289",0.8,"PC17SA5",2018,"Common_garden","Southern","Salix arctica"
"290",6.7,"PC17SA6",2023,"Common_garden","Southern","Salix arctica"
"291",8.1,"PC17SA7",2023,"Common_garden","Southern","Salix arctica"
"292",1.7,"PC17SA8",2018,"Common_garden","Southern","Salix arctica"
"293",5.1,"PC17SA9",2023,"Common_garden","Southern","Salix arctica"
"294",27.5,"PC17SP1",2018,"Common_garden","Southern","Salix pulchra"
"295",8.8,"PC17SP10",2023,"Common_garden","Southern","Salix pulchra"
"296",12.4,"PC17SP3",2020,"Common_garden","Southern","Salix pulchra"
"297",34.7,"PC17SP4",2020,"Common_garden","Southern","Salix pulchra"
"298",16.5,"PC17SP5",2019,"Common_garden","Southern","Salix pulchra"
"299",17.3,"PC17SP6",2018,"Common_garden","Southern","Salix pulchra"
"300",26.4,"PC17SP7",2020,"Common_garden","Southern","Salix pulchra"
"301",20.9,"PC17SP8",2023,"Common_garden","Southern","Salix pulchra"
"302",16,"PC17SP9",2021,"Common_garden","Southern","Salix pulchra"
"303",40,"PC17SR1",2022,"Common_garden","Southern","Salix richardsonii"
"304",36,"PC17SR10",2022,"Common_garden","Southern","Salix richardsonii"
"305",3.2,"PC17SR11",2018,"Common_garden","Southern","Salix richardsonii"
"306",10.2,"PC17SR12",2021,"Common_garden","Southern","Salix richardsonii"
"307",16.1,"PC17SR13",2023,"Common_garden","Southern","Salix richardsonii"
"308",13.7,"PC17SR15",2019,"Common_garden","Southern","Salix richardsonii"
"309",37.1,"PC17SR2",2023,"Common_garden","Southern","Salix richardsonii"
"310",74,"PC17SR4",2022,"Common_garden","Southern","Salix richardsonii"
"311",121,"PC17SR5",2022,"Common_garden","Southern","Salix richardsonii"
