"","max_stem_elong","SampleID_standard","Year","Site","population","Species"
"226",113.333333333333,"KP17SP12",2020,"Common_garden","Southern","Salix pulchra"
"227",43.4433333333333,"KP17SP14",2018,"Common_garden","Southern","Salix pulchra"
"228",49.9933333333333,"KP17SP2",2019,"Common_garden","Southern","Salix pulchra"
"229",251,"KP17SP5",2023,"Common_garden","Southern","Salix pulchra"
"230",44.6233333333333,"KP17SP9",2020,"Common_garden","Southern","Salix pulchra"
"231",97.6666666666667,"KP17SR1",2023,"Common_garden","Southern","Salix richardsonii"
"232",67.6666666666667,"KP17SR2",2020,"Common_garden","Southern","Salix richardsonii"
"233",65.0633333333333,"KP17SR3",2019,"Common_garden","Southern","Salix richardsonii"
"234",47.6666666666667,"KP17SR4",2020,"Common_garden","Southern","Salix richardsonii"
"235",7.33333333333333,"KP18SA10",2022,"Common_garden","Southern","Salix arctica"
"236",11,"KP18SA2",2022,"Common_garden","Southern","Salix arctica"
"237",19.6666666666667,"KP18SA4",2023,"Common_garden","Southern","Salix arctica"
"238",17,"KP18SA8",2021,"Common_garden","Southern","Salix arctica"
"239",4.33333333333333,"KP18SA9",2021,"Common_garden","Southern","Salix arctica"
"240",78.3333333333333,"KP18SP1",2022,"Common_garden","Southern","Salix pulchra"
"241",418.333333333333,"KP18SP2",2022,"Common_garden","Southern","Salix pulchra"
"242",27,"KP18SP3",2020,"Common_garden","Southern","Salix pulchra"
"243",160,"KP18SP4",2022,"Common_garden","Southern","Salix pulchra"
"244",301,"KPSR5",2023,"Common_garden","Southern","Salix richardsonii"
"245",51.3333333333333,"PC16CESA2",2022,"Common_garden","Southern","Salix arctica"
"246",236.666666666667,"PC16CESP7",2022,"Common_garden","Southern","Salix pulchra"
"247",19.6666666666667,"PC16CWSP1",2017,"Common_garden","Southern","Salix pulchra"
"248",20.93,"PC16CWSP6",2019,"Common_garden","Southern","Salix pulchra"
"249",261.666666666667,"PC16CWSP7",2022,"Common_garden","Southern","Salix pulchra"
"250",48.3333333333333,"PC16CWSP9",2020,"Common_garden","Southern","Salix pulchra"
"251",33,"PC17SA1",2022,"Common_garden","Southern","Salix arctica"
"252",10.6666666666667,"PC17SA6",2023,"Common_garden","Southern","Salix arctica"
"253",21.6666666666667,"PC17SA7",2022,"Common_garden","Southern","Salix arctica"
"254",1.02333333333333,"PC17SA8",2018,"Common_garden","Southern","Salix arctica"
"255",9.66666666666667,"PC17SA9",2022,"Common_garden","Southern","Salix arctica"
"256",313.333333333333,"PC17SP1",2022,"Common_garden","Southern","Salix pulchra"
"257",43.91,"PC17SP10",2019,"Common_garden","Southern","Salix pulchra"
"258",67.6666666666667,"PC17SP3",2020,"Common_garden","Southern","Salix pulchra"
"259",202.286666666667,"PC17SP4",2019,"Common_garden","Southern","Salix pulchra"
"260",57.6666666666667,"PC17SP5",2020,"Common_garden","Southern","Salix pulchra"
"261",32.4266666666667,"PC17SP6",2018,"Common_garden","Southern","Salix pulchra"
"262",42,"PC17SP7",2021,"Common_garden","Southern","Salix pulchra"
