Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
H15Sa14,26/07/2017,2017,2.4,21,20,16,28,25,11,,,,,,Some dying leaves 
H15Sa15,26/07/2017,2017,2.4,-,-,-,19,10,-,,,,,,No leaves left 
KP16SR19,26/07/2017,2017,2.4,14,-,-,27,12,-,,,,,,Leaf turning brown
HEF-SR 4B,11/08/2016,2016,2.5,20,18,21,16,25,,,,,,,
HE-SR 17,09/07/2016,2016,2.5,23,21,18,17,14,,,,,,,
K15PSa6,12/07/2017,2017,2.5,21,19,18,28,27,15,,,,,,Herbivory 
HE16SP16,19/07/2017,2017,2.5,25,19,20,15,-,-,,,,,,Dying 
HE-SP 18,20/07/2017,2017,2.5,17,16,21,28,39,37,,,,,,Leaves dying 
K15PSa10,14/08/2017,2017,2.5,22,26,18,15,8,-,,,,,,
H15Sa18,14/08/2017,2017,2.5,14,14,13,10,8,12,,,,,,Browning and light herbivory 
HER-SP 5,09/07/2016,2016,2.6,15,16,11,25,,,,,,,,
H15Sa18,12/07/2017,2017,2.6,15,15,15,17,19,-,,,,,,Some herbivory 
H15SR29,20/07/2017,2017,2.6,21,20,19,23,-,-,,,,,,
H15Sp11,13/08/2017,2017,2.6,-,-,-,13,7,-,,,,,,Dead
K15PSa8,12/07/2017,2017,2.7,37,37,41,65,50,51,,,,,,
HE16SA6,20/07/2017,2017,2.7,15,15,13,15,15,8,,,,,,Some dead leaves 
K15PSa8,14/08/2017,2017,2.7,42,34,30,8,11,-,,,,,,Light herbivory and some browning 
K15PSa12,14/08/2017,2017,2.7,31,24,25,4,4,8,,,,,,Browning and light herbivory 
H15Sa18,20/07/2017,2017,2.8,15,15,12,19,22,-,,,,,,Light herbivory 
K15PSa8,26/07/2017,2017,2.8,38,38,32,54,43,43,,,,,,Light herbivory 
K15PSa11,26/07/2017,2017,2.8,25,30,38,51,36,30,,,,,,Light herbivory and leaves turning brown 
H15SR29,02/08/2017,2017,2.8,25,26,17,17,8,,,,,,,Mutated leaf
H15Sr3,26/06/2016,2016,2.9,15.1,14.3,12.5,11.5,,,,,,,,
HE16Sa3,06/06/2017,2017,2.9,25,23,18,1,NA,NA,,,,,,
HE16SP17,06/06/2017,2017,2.9,21,19,16,14,NA,NA,,,,,,
H15Sa10,12/07/2017,2017,2.9,28,24,23,37,28,54,,,,,,Dying leaves 
K15PSa7,12/07/2017,2017,2.9,49,45,40,70,72,60,,,,,,
KP16Sa6,26/07/2017,2017,2.9,17,12,11,22,-,-,,,,,,
KP16Sp39,13/08/2017,2017,2.9,10,10,11,31,-,-,,,,,,Browning 
HE16SA8,14/08/2017,2017,2.9,10,17,-,13,-,-,,,,,,Heavy herbivory 
KP16Sa6,14/08/2017,2017,2.9,18,10,10,7,4,-,,,,,,
K15PSa11,14/08/2017,2017,2.9,25,29,22,10,13,11,,,,,,Browning and light herbivory 
HE-SR 23,11/08/2016,2016,3,21,24,21,30,26,29,,,,,,
K15PSa6,20/07/2017,2017,3,18,20,15,28,24,27,,,,,,Herbivory 
HE16SA10,26/07/2017,2017,3,19,12,9,20,-,-,,,,,,Herbivory
H15Sp12,02/08/2017,2017,3,30,-,-,5,-,-,,,,,,"80% herbivory, browning "
K15PSa10,02/08/2017,2017,3,32,32,27,16,10,,,,,,,10% herbivory 
H15Sp3,09/07/2016,2016,3.1,16,19,19,3,,,,,,,,
K15PSa12,12/07/2017,2017,3.1,29,30,27,61,40,28,,,,,,Slight herbivory 
HE-SP 18,26/07/2017,2017,3.1,19,16,19,39,27,26,,,,,,Most leaves dead
HE16SA6,26/07/2017,2017,3.1,14,13,11,13,15,10,,,,,,Some dead leaves 
HE16SA8,26/07/2017,2017,3.1,12,19,6,28,-,-,,,,,,Heavy herbivory 
K15PSa6,26/07/2017,2017,3.1,19,20,19,25,28,25,,,,,,Herbivory 
KL-SPE 3,11/08/2016,2016,3.2,30,30,26,23,9,,,,,,,
H15Sp20,11/08/2016,2016,3.2,33,,,29,,,,,,,,
HE-SR 17,26/06/2016,2016,3.2,21,20,18,24,0,0,,,,,,"Very brown, herbivory"
HE16SA14,06/06/2017,2017,3.2,25,24,23,29,14,NA,,,,,,
HE16Sa3,24/07/2017,2017,3.2,33,33,27,43,-,-,,,,,,
KP16Sp39,02/08/2017,2017,3.2,14,11,8,32,,,,,,,,
HE16SA10,02/08/2017,2017,3.2,20,11,14,7,,,,,,,,30% herbivory 
H15SR29,14/08/2017,2017,3.2,22,15,20,18,21,-,,,,,,Light herbivory 
H15Sp2,09/07/2016,2016,3.3,22,21,20,22,18,7,,,,,,
KP16Sa6,06/06/2017,2017,3.3,16,14,10,3,NA,NA,,,,,,
K15PSa8,20/07/2017,2017,3.3,36,35,35,48,53,44,,,,,,Light herbivory 
HE-SR 23,14/08/2017,2017,3.3,27,28,19,16,27,27,,,,,,Rust
KL-SPE 3,09/07/2016,2016,3.4,20,22,29,5,8,,,,,,,
HER-SP 26,26/06/2016,2016,3.4,16.1,21.6,13.2,17.5,17,8.6,,,,,,Browning/dead?
H15SP25,20/07/2017,2017,3.4,18,18,18,20,26,6,,,,,,Herbivory 
PC16CESp7,26/07/2017,2017,3.4,38,33,25,69,50,-,,,,,,Leaves browning 
HE16Sa3,02/08/2017,2017,3.4,35,27,17,15,-,-,,,,,,Slight browning 
K15PSa6,02/08/2017,2017,3.4,26,25,26,11,7,12,,,,,,10% herbivory 
H15Sa18,02/08/2017,2017,3.4,20,18,16,7,5,3,,,,,,10% herbivory 
H15Sa10,14/08/2017,2017,3.4,30,22,17,31,10,16,,,,,,Browning and light herbivory 
H15Sp10,09/07/2016,2016,3.5,40,30,31,21,29,,,,,,,
HE16Sa3,11/07/2017,2017,3.5,29,26,32,15,-,-,,,,,,
K15PSa7,20/07/2017,2017,3.5,50,42,43,63,53,63,,,,,,Light herbivory 
K15PSa7,26/07/2017,2017,3.5,43,41,48,59,56,58,,,,,,
HE-SR 23,02/08/2017,2017,3.5,21,27,21,15,10,16,,,,,,
H15Sa14,02/08/2017,2017,3.5,26,20,18,8,,,,,,,,
HE16SA6,14/08/2017,2017,3.5,17,14,6,10,5,4,,,,,,Browning leaves 
H15Sp25,11/08/2016,2016,3.6,23,21,19,22,,,,,,,,Some herbivory
HE-SR 23,09/07/2016,2016,3.6,22,26,24,12,17,9,,,,,,
H15Sp25,26/06/2016,2016,3.6,19.6,22.2,17.4,20.9,,,,,,,,Herbivory
HE16SA6,06/06/2017,2017,3.6,18,16,13,1,1,NA,,,,,,
HE16Sa3,19/07/2017,2017,3.6,34,30,28,25,-,-,,,,,,
HE16SA8,20/07/2017,2017,3.6,10,19,16,27,-,-,,,,,,Heavy herbivory and lots of spider webs 
K15PSa11,20/07/2017,2017,3.6,36,27,31,51,37,47,,,,,,Herbivory and brown spots
H15Sp20,13/08/2017,2017,3.6,13,-,-,39,14,7,,,,,,Dead
H15Sr20,09/07/2016,2016,3.7,25,19,,,,,,,,,,
H15Sp15,11/07/2017,2017,3.7,29,26,19,40,37,47,,,,,,Herbivory
H15sp26,12/07/2017,2017,3.7,23,23,22,24,-,-,,,,,,Dying leaves 
K15PSa2,20/07/2017,2017,3.7,43,30,41,51,54,47,,,,,,
H15Sp25,09/07/2016,2016,3.8,19,22,20,21,,,,,,,,
HE-SR 23,26/06/2016,2016,3.8,21,22,19,25,21,17,,,,,,Leaves browning and curling
HE16SA7,12/07/2017,2017,3.8,16,18,16,23,-,-,,,,,,
PC16CESp7,20/07/2017,2017,3.8,38,32,26,58,31,54,,,,,,Some dead leaves 
K15PSa12,20/07/2017,2017,3.8,35,26,23,36,41,39,,,,,,
K15PSa12,26/07/2017,2017,3.8,30,29,26,47,37,40,,,,,,Light herbivory and some orange spots 
K15PSa11,02/08/2017,2017,3.8,40,38,44,19,14,6,,,,,,5% herbivory 
H15Sp3,26/06/2016,2016,3.9,19.1,21.1,17.6,13.3,,,,,,,,Browning
H15SP25,26/07/2017,2017,3.9,17,16,11,41,9,-,,,,,,Herbivory and some dying leaves 
H15sp26,26/07/2017,2017,3.9,24,23,-,42,-,-,,,,,,Leaves dying 
KP16Sa6,02/08/2017,2017,3.9,18,11,13,4,,,,,,,,
HEF-SR 4B,09/07/2016,2016,4,23,21,22,13,9,25,,,,,,
H15Sp2,26/06/2016,2016,4,20.9,20.8,15.5,16.9,21.6,14.3,,,,,,
HER-SP 5,26/06/2016,2016,4,15.5,13.4,13.4,6.8,,,,,,,,
HEF-SR 4B,26/06/2016,2016,4,18.7,20.4,16.6,11.4,,,,,,,,Browning
H15sp26,20/07/2017,2017,4,24,21,22,22,-,-,,,,,,Dying leaves 
KP16SR58,20/07/2017,2017,4,27,23,21,59,42,-,,,,,,Herbivory 
H15Sa10,26/07/2017,2017,4,27,27,22,55,42,38,,,,,,Herbivory and leaves turning brown and yellow 
HE-SP 18,02/08/2017,2017,4,22,19,21,18,14,20,,,,,,
HE16SA6,02/08/2017,2017,4,21,23,19,5,3,3,,,,,,
HE16Sa3,13/08/2017,2017,4,26,35,21,13,-,-,,,,,,
HE16SA7,14/08/2017,2017,4,17,16,6,7,-,-,,,,,,Browning leaves 
HE16SA10,14/08/2017,2017,4,-,-,-,-,-,-,,,,,,Dead 
H15SP25,12/07/2017,2017,4.1,17,10,12,27,31,-,,,,,,Herbivory 
HER-SP 14,14/08/2017,2017,4.1,9,22,15,39,25,22,,,,,,Dead
H15Sp7,09/07/2016,2016,4.2,6,8,5,,,,,,,,,
HE-SR 2,09/07/2016,2016,4.2,25,26,29,20,26,11,,,,,,
H15Sp29,09/07/2016,2016,4.2,30,16,19,22,2,,,,,,,
HE16SA8,12/07/2017,2017,4.2,20,21,17,30,-,-,,,,,,Light herbivory and some dead leaves 
K15PSa15,12/07/2017,2017,4.2,29,24,27,38,46,-,,,,,,Slight herbivory 
HE16SA7,20/07/2017,2017,4.2,16,18,17,23,21,24,,,,,,
K15PSa15,20/07/2017,2017,4.2,30,34,31,45,44,42,,,,,,Light herbivory 
HE16SA7,26/07/2017,2017,4.2,15,16,18,18,23,17,,,,,,
PP16MSa5,13/08/2017,2017,4.2,23,15,18,8,6,-,,,,,,
KP16SR58,14/08/2017,2017,4.2,8,5,25,36,22,-,,,,,,Herbivory 
H15Sp29,11/08/2016,2016,4.3,22,17,21,20,,,,,,,,
H15Sp7,26/06/2016,2016,4.3,8.8,8.1,6.6,1.8,5.1,,,,,,,Browning
HER-SP 14,12/07/2017,2017,4.3,27,22,28,52,44,25,,,,,,
K15PSa12,02/08/2017,2017,4.3,33,38,38,8,7,11,,,,,,<5% herbivory 
H15sp26,14/08/2017,2017,4.3,-,-,-,25,-,-,,,,,,Dead
