"","Species","population","SLA","LA","LDMC_percent","group_color","group_shape"
"181","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"182","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"183","Salix richardsonii","N. Source",9.566791511,428.7,44.5,"north","source"
"184","Salix richardsonii","N. Source",10.19388464,609.6,36.8974359,"north","source"
"185","Salix richardsonii","N. Source",10.6117837,468.1,42.7241379,"north","source"
"186","Salix richardsonii","N. Source",11.48864418,784.7,32.2888889,"north","source"
"187","Salix richardsonii","N. Source",12.30016051,440.7,36.6470588,"north","source"
"188","Salix richardsonii","N. Source",11.6475827,531.3,39.3,"north","source"
"189","Salix richardsonii","N. Source",11.61092715,348.3,35.5294118,"north","source"
"190","Salix richardsonii","N. Source",9.796788141,856.1,39.4878049,"north","source"
"191","Salix richardsonii","N. Source",20.20352997,723.9,19.0575758,"north","source"
"192","Salix richardsonii","N. Source",10.16045627,621.5,36.5277778,"north","source"
"193","Salix richardsonii","N. Source",14.39469129,1135.6,35.3673469,"north","source"
"194","Salix richardsonii","N. Source",9.98019802,500.1,53.8666667,"north","source"
"195","Salix richardsonii","N. Source",11.58942065,934,42.5357143,"north","source"
"196","Salix richardsonii","N. Source",10.81847826,554.3,48.4210526,"north","source"
"197","Salix richardsonii","N. Source",9.736352357,929.7,37.4883721,"north","source"
"198","Salix richardsonii","N. Source",10.40228789,540.9,41.96,"north","source"
"199","Salix richardsonii","N. Source",10.62539185,811.4,39.875,"north","source"
"200","Salix richardsonii","N. Source",10.14553473,388.2,45.35,"north","source"
"201","Salix richardsonii","N. Source",9.579346558,689.1,47.6111111,"north","source"
"202","Salix richardsonii","N. Source",8.855405405,307.6,49.3333333,"north","source"
"203","Salix richardsonii","N. Source",NA,337.6,NA,"north","source"
"204","Salix richardsonii","N. Source",NA,857.3,NA,"north","source"
"205","Salix richardsonii","N. Source",NA,846.7,NA,"north","source"
"206","Salix richardsonii","N. Source",NA,884.6,NA,"north","source"
"207","Salix richardsonii","N. Source",NA,325.6,NA,"north","source"
"208","Salix richardsonii","N. Source",NA,384.2,NA,"north","source"
"209","Salix richardsonii","N. Source",NA,353,NA,"north","source"
"210","Salix richardsonii","N. Source",NA,730,NA,"north","source"
"211","Salix richardsonii","N. Source",NA,546.7,NA,"north","source"
"212","Salix richardsonii","N. Source",NA,714.6,NA,"north","source"
"213","Salix richardsonii","N. Source",NA,1359,NA,"north","source"
"214","Salix richardsonii","N. Source",NA,306.3,NA,"north","source"
"215","Salix richardsonii","N. Source",NA,446.3,NA,"north","source"
"216","Salix richardsonii","N. Source",NA,441,NA,"north","source"
"217","Salix richardsonii","N. Source",NA,639.8,NA,"north","source"
"218","Salix richardsonii","N. Source",NA,550.3,NA,"north","source"
"219","Salix richardsonii","N. Source",NA,544.4,NA,"north","source"
"220","Salix richardsonii","N. Source",NA,532,NA,"north","source"
"221","Salix richardsonii","N. Source",NA,952.8,NA,"north","source"
"222","Salix richardsonii","N. Source",NA,347.7,NA,"north","source"
"223","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"224","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"225","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"226","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
"227","Salix richardsonii","N. Source",NA,NA,NA,"north","source"
