"","Species","Site","Canopy_Height_cm"
"101","Salix pulchra","Qikiqtaruk",19.3
"102","Salix pulchra","Qikiqtaruk",22.2
"103","Salix pulchra","Qikiqtaruk",23.6
"104","Salix pulchra","Qikiqtaruk",16.1
"105","Salix pulchra","Qikiqtaruk",23.1
"106","Salix pulchra","Qikiqtaruk",29.3
"107","Salix pulchra","Qikiqtaruk",23.6
"108","Salix pulchra","Qikiqtaruk",11.1
"109","Salix pulchra","Qikiqtaruk",14.2
"110","Salix pulchra","Qikiqtaruk",24.7
"111","Salix richardsonii","Qikiqtaruk",29.6
"112","Salix richardsonii","Qikiqtaruk",23.5
"113","Salix richardsonii","Qikiqtaruk",24
"114","Salix richardsonii","Qikiqtaruk",26.9
"115","Salix richardsonii","Qikiqtaruk",28
"116","Salix richardsonii","Qikiqtaruk",63.5
"1171","Salix richardsonii","Qikiqtaruk",34.5
"1181","Salix richardsonii","Qikiqtaruk",21.2
"1191","Salix richardsonii","Qikiqtaruk",22.8
"1201","Salix richardsonii","Qikiqtaruk",28.6
