"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","max_stem_elong","mean_leaf_length","mean_width","population"
"11",2667,2000,2000,"JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,6,19,NA,10.65,"Northern"
"12",2010,2268,2268,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,3.8,8.6,2.5,7,21,0,NA,13,28,4,"H15SP1",81.7,5,15,NA,5.55,"Northern"
"13",276,276,276,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,5.8,NA,NA,NA,20,18,6,27,24,16,"H15SP10",NA,2,22.3333333333333,14.6666666666667,NA,"Northern"
"14",278,278,278,"CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,0.8,NA,NA,NA,NA,NA,NA,6,6,17,"H15SP12",NA,2,9.66666666666667,NA,NA,"Northern"
"15",64,64,64,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",NA,1,36.6666666666667,41,NA,"Northern"
"16",280,280,280,"CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,8.7,NA,NA,NA,26,NA,NA,30,7,7,"H15SP14",NA,2,14.6666666666667,NA,NA,"Northern"
"17",2016,2274,2274,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,9.4,24.1,19.5,10,31,30,23,41,24,39,"H15SP15",4417.53,5,34.6666666666667,28,21.8,"Northern"
"18",67,67,67,"CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",NA,1,12,32.3333333333333,NA,"Northern"
"19",1363,1363,1363,"CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,2.2,NA,NA,NA,NA,NA,NA,28.92,30.49,13.03,"H15SP17",NA,4,24.1466666666667,NA,NA,"Northern"
"20",1364,1364,1364,"CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,16.4,NA,NA,NA,22.36,23.84,NA,27.39,14.93,33.39,"H15SP18",NA,4,25.2366666666667,NA,NA,"Northern"
"21",285,285,285,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,6.5,NA,NA,NA,NA,NA,NA,48,27,27,"H15SP19",NA,2,34,NA,NA,"Northern"
"22",71,71,71,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",NA,1,21,17.3333333333333,NA,"Northern"
"23",3007,3007,3007,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,4,10,9,9,31,29,34,25,25,29,"H15SP20",360,7,26.3333333333333,31.3333333333333,9.5,"Northern"
"24",3061,3061,3061,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,3.5,7.5,5.3,6,17,19,20,23,10,9,"H15SP23",139.125,7,14,18.6666666666667,6.4,"Northern"
"25",816,816,816,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,11.3,NA,NA,NA,21.14,23.09,20.79,22.79,24.78,15.4,"H15SP24",NA,3,20.99,21.6733333333333,NA,"Northern"
"26",2027,2285,2285,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,6.5,6,5.3,5.68,15.45,16.55,7.96,32.62,43.78,21.32,"H15SP25",206.7,5,32.5733333333333,13.32,5.65,"Northern"
"27",1373,1373,1373,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,10.5,NA,NA,NA,23.58,26.93,20.28,20.83,19.82,48.53,"H15SP27",NA,4,29.7266666666667,23.5966666666667,NA,"Northern"
"28",2029,2287,2287,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,8.6,11.5,6,7.82,16.51,13.41,17.76,31.2,15.25,16.23,"H15SP29",593.4,5,20.8933333333333,15.8933333333333,8.75,"Northern"
"29",1378,1378,1378,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,6.5,NA,NA,NA,NA,NA,NA,31.23,39.61,21.11,"H15SP5",NA,4,30.65,NA,NA,"Northern"
"30",1379,1379,1379,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,5.2,NA,NA,NA,NA,NA,NA,23.44,28.23,34.95,"H15SP6",NA,4,28.8733333333333,NA,NA,"Northern"
"31",303,303,303,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,17,NA,NA,NA,28,30,35,19,43,21,"H15SP8",NA,2,27.6666666666667,31,NA,"Northern"
"32",2037,2295,2295,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,14.1,8.2,7.8,11,21,21,21,32,26,25,"H15SP9",901.836,5,27.6666666666667,21,8,"Northern"
"33",314,314,314,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2017-08-13",8,13,2017,4.6,NA,NA,NA,21,19,25,29,24,12,"H15SR19",NA,2,21.6666666666667,21.6666666666667,NA,"Northern"
"34",316,316,316,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2017-08-13",8,13,2017,5.5,NA,NA,NA,22,17,16,8,14,8,"H15SR20",NA,2,10,18.3333333333333,NA,"Northern"
"35",843,843,843,"AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,3.4,NA,NA,NA,NA,NA,NA,27.51,25.41,16.41,"H15SR29",NA,3,23.11,NA,NA,"Northern"
"36",2057,2315,2315,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,13.1,8.4,5.1,11,55,NA,NA,28,85,22,"H15SR5",561.204,5,45,NA,6.75,"Northern"
"37",3042,3042,3042,"JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",1785,5,19.6666666666667,36.6666666666667,17.25,"Northern"
"38",2691,2024,2024,"SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.2,5.6,3.8,5,23,22,21,9,6,4,"H17SA12",68.096,4,6.33333333333333,22,4.7,"Northern"
"39",856,856,856,"SAB","H17Sa14",2017,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,3.1,NA,NA,NA,19.64,16.67,15.56,7.45,5.73,5.2,"H17SA14",NA,1,6.12666666666667,17.29,NA,"Northern"
"40",3104,3104,3104,"SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,5,21.6666666666667,34.3333333333333,16.25,"Northern"
"41",3156,3156,3156,"JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,3,18,11.5,10,23,30,30,9,35,24,"H17SA17",621,5,22.6666666666667,27.6666666666667,14.75,"Northern"
"42",3158,3158,3158,"JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,5,31.3333333333333,39,36,"Northern"
"43",3159,3159,3159,"JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2.5,40,39,12,39,33,50,54,46,23,"H17SA20",3900,5,41,40.6666666666667,39.5,"Northern"
"44",3039,3039,3039,"JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,26,23,9,49,64,66,93,33,25,"H17SA6",2990,5,50.3333333333333,59.6666666666667,24.5,"Northern"
"45",2697,2030,2030,"JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",907.5,4,7,23.6666666666667,14.5,"Northern"
"46",3041,3041,3041,"JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,27,22,10,29,34,34,73,38,45,"H17SA9",2376,5,52,32.3333333333333,24.5,"Northern"
"47",2699,2032,2032,"AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.2,11.9,11.9,10,14,16,17,24,19,14,"H17SP10",1161.202,4,19,15.6666666666667,11.9,"Northern"
"48",2084,2342,2342,"AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,4.1,8.6,10.2,7.13,NA,NA,NA,20.39,20.4,33.51,"H17SP12",359.652,3,24.7666666666667,NA,9.4,"Northern"
"49",3128,3128,3128,"AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,11,12.5,12,8,19,20,22,37,18,26,"H17SP13",1650,5,27,20.3333333333333,12.25,"Northern"
