"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard"
"108","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,10.34,8.62,9.83,NA,NA,NA,"HESR21"
"109","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,20,20,15,27,14,12,"HESR21"
"110","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,22,22,21,24,22,10,"HESR21"
"111","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,17,14,15,NA,NA,NA,"HESR21"
"112","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,15.51,13.66,13.3,NA,NA,NA,"HESR23"
"113","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,19,20,29,NA,NA,NA,"HESR23"
"114","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,27,24,22,14,10,8,"HESR23"
"115","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,14,18,19,NA,NA,NA,"HESR23"
"116","AC","HESr24",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,14,5,4,NA,NA,NA,"HESR24"
"117","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk",2015-05-22,"5","22",2015,NA,NA,NA,NA,12.13,11.45,9.46,NA,NA,NA,"HESR26"
"118","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,22,19,20,NA,NA,NA,"HESR26"
"119","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,21,22,23,13,8,6,"HESR26"
"120","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,15,19,14,NA,NA,NA,"HESR26"
"121","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,17.44,21.83,9.11,NA,NA,NA,"HESR27"
"122","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,20,15,15,NA,NA,NA,"HESR27"
"123","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,36,26,22,14,8,4,"HESR27"
"124","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,14,10,13,NA,NA,NA,"HESR27"
"125","AC","HESr29",2013,"Salix richardsonii","Qikiqtaruk",2015-08-15,"8","15",2015,NA,NA,NA,NA,15,15,14,NA,NA,NA,"HESR29"
"126","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk",2015-05-18,"5","18",2015,NA,NA,NA,NA,9.57,7.6,7.32,NA,NA,NA,"HESR3"
"127","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk",2015-06-02,"6","2",2015,NA,NA,NA,NA,19,10,11,12,3,NA,"HESR3"
"128","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk",2015-06-18,"6","18",2015,NA,NA,NA,NA,20,16,13,4,15,2,"HESR3"
