"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"74","Salix richardsonii","H17SR5",109129200,"2021-08-06",NA,NA,NA,NA,NA,NA,NA,0.683,"08","2021","218","Northern",NA,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"75","Salix richardsonii","HEFSR4",109129166,"2021-08-06",0.131,17.3946564885496,57.4889191205512,29.9771167048055,0.0134287093518234,0.471,22.787,0.437,"08","2021","218","Northern",0.278131634819533,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"76","Salix pulchra","PC16CWSP7",109129127,"2021-08-06",NA,NA,NA,NA,NA,NA,NA,0.676,"08","2021","218","Southern",NA,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"77","Salix pulchra","PC17SP1",109129092,"2021-08-06",0.171,11.2912280701754,88.5643256681168,40.3301886792453,0.0131033768386161,0.433,19.308,0.424,"08","2021","218","Southern",0.394919168591224,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"78","Salix richardsonii","H17SR9",109129052,"2021-08-06",0.213,15.3464788732394,65.1615271659324,31.981981981982,0.0138582966226138,0.686,32.688,0.666,"08","2021","218","Northern",0.310495626822157,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"79","Salix richardsonii","H17SR13",109129008,"2021-08-06",0.241,12.8576763485477,77.7745506180011,29.6432964329643,0.0184593539226127,0.824,30.987,0.813,"08","2021","218","Northern",0.29247572815534,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"80","Salix richardsonii","H17SR13",109129008,"2021-08-06",NA,NA,NA,NA,NA,NA,NA,0.813,"08","2021","218","Northern",NA,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"81","Salix pulchra","HESP12",109128968,"2021-08-06",0.149,17.644966442953,56.6733863299228,32.0430107526882,0.0120193222015138,0.476,26.291,0.465,"08","2021","218","Northern",0.313025210084034,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"82","Salix pulchra","KP16SP59",109128902,"2021-08-06",0.236,11.4923728813559,87.0142319887914,37.5198728139905,0.0144900818523708,0.631,27.122,0.629,"08","2021","218","Southern",0.374009508716323,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"83","Salix richardsonii","KLSRC13",109139804,"2021-08-06",1.262,11.3217908082409,88.3252496833029,32.8389279208951,0.0180639833147864,3.877,142.881,3.843,"08","2021","218","Southern",0.325509414495744,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"84","Salix richardsonii","KLSRE14",109140148,"2021-08-06",0.503,12.5528827037773,79.6629765128839,33.421926910299,0.0158692450230437,1.518,63.141,1.505,"08","2021","218","Southern",0.331357048748353,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"85","Salix richardsonii","KLSRE10",109154187,"2021-08-07",0.486,12.7578189300412,78.3833040336758,33.7734537873523,0.0153702240214183,1.494,62.003,1.439,"08","2021","219","Southern",0.325301204819277,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"86","Salix richardsonii","KLSRE11",109154517,"2021-08-07",0.724,13.4685082872928,74.2472721306096,32.1777777777778,0.0156493559767003,2.344,97.512,2.25,"08","2021","219","Southern",0.308873720136519,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"87","Salix pulchra","HERSP12",109154480,"2021-08-07",0.111,17.1261261261261,58.3903208837454,49.3333333333333,0.00599684376643872,0.295,19.01,0.225,"08","2021","219","Northern",0.376271186440678,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"88","Salix arctica","PC17SA1",109154431,"2021-08-07",0.337,11.4329376854599,87.466583612344,33.5992023928215,0.0172856809156739,1.009,38.529,1.003,"08","2021","219","Southern",0.333994053518335,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"89","Salix arctica","HE16SA3",109154282,"2021-08-07",0.131,15.2221374045802,65.6937967002658,27.7542372881356,0.0171004463166341,0.48,19.941,0.472,"08","2021","219","Northern",0.272916666666667,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"90","Salix arctica","HE16SA7",109213957,"2021-08-07",0.195,14.0779487179487,71.0330759143232,28.5923753665689,0.017740055369372,0.696,27.452,0.682,"08","2021","219","Northern",0.280172413793104,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"91","Salix arctica","KP17SA6",109214034,"2021-08-07",0.306,12.2352941176471,81.7307692307692,33.0097087378641,0.0165865384615385,0.937,37.44,0.927,"08","2021","219","Southern",0.326574172892209,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"92","Salix arctica","H15SA10",109222848,"2021-08-07",0.366,12.3459016393443,80.9985393706015,32.1899736147757,0.0170628070641349,1.238,45.186,1.137,"08","2021","219","Northern",0.295638126009693,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"93","Salix arctica","H17SA18",109222916,"2021-08-07",0.436,12.6158256880734,79.265521316244,32.2962962962963,0.016616671211708,1.361,55.005,1.35,"08","2021","219","Northern",0.32035268185158,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"94","Salix arctica","K15PSA2",109222952,"2021-08-07",0.393,10.434096692112,95.8396332244062,38.0445304937077,0.015607472077257,1.111,41.006,1.033,"08","2021","219","Southern",0.353735373537354,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"95","Salix richardsonii","H17SR35",109222984,"2021-08-07",0.168,17.8238095238095,56.104728827144,28.5714285714286,0.014026182206786,0.63,29.944,0.588,"08","2021","219","Northern",0.266666666666667,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"96","Salix richardsonii","KP16SR58",109223013,"2021-08-07",0.676,11.6894970414201,85.5468799433062,32.0531057373163,0.0181344199643133,2.259,79.021,2.109,"08","2021","219","Southern",0.299247454625941,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"97","Salix pulchra","KLSPC13",109223041,"2021-08-07",0.265,11.0709433962264,90.3265389597109,41.9303797468354,0.01250937350876,0.658,29.338,0.632,"08","2021","219","Southern",0.40273556231003,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"98","Salix arctica","K15PSA7",109232447,"2021-08-07",0.846,10.9256501182033,91.5277342017289,37.5,0.0152546223669548,2.317,92.431,2.256,"08","2021","219","Southern",0.365127319810099,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"99","Salix arctica","K15PSA9",109297253,"2021-08-08",NA,NA,NA,NA,NA,2.289,86.398,2.196,"08","2021","220","Southern",NA,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"100","Salix arctica","H17SA20",109297321,"2021-08-08",0.382,12.6515706806283,79.0415692441391,31.1328443357783,0.017484326180968,1.266,48.329,1.227,"08","2021","220","Northern",0.30173775671406,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"101","Salix arctica","K15PSA12",109297373,"2021-08-08",0.469,11.6368869936034,85.9336350477307,35.6925418569254,0.0154827124979387,1.383,54.577,1.314,"08","2021","220","Southern",0.339117859725235,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"102","Salix arctica","H15SA12",109297417,"2021-08-08",0.144,11.8729166666667,84.2253026846815,35.1219512195122,0.0155582850792537,0.441,17.097,0.41,"08","2021","220","Northern",0.326530612244898,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
