"","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"70","CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2016",5.3,NA,NA,NA,35,27,30,42,NA,NA,"H15SP19",NA,1,30.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2016",31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",NA,1,17.3333333333333,21,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2016",3.2,NA,NA,NA,33,NA,NA,29,NA,NA,"H15SP20",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","MG","H15Sp21",2015,"Salix pulchra","Qikiqtaruk","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","MG","H15Sp22",2015,"Salix pulchra","Qikiqtaruk","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2016",9.5,NA,NA,NA,NA,NA,NA,19,16,NA,"H15SP23",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP24",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2016",3.6,NA,NA,NA,23,21,19,22,NA,NA,"H15SP25",NA,1,21,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","AB","H15Sp26",2015,"Salix pulchra","Qikiqtaruk","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP26",NA,1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2016",19,NA,NA,NA,21,17,15,18,13,NA,"H15SP27",NA,1,17.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
