"","PhenocamID","Year","Species","First_bud_burst","First_leaf_yellow","All_leaves_yellow","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population"
"83","CG5-2021",2022,"Salix richardsonii",2022-05-19,2022-08-09,NA,139,221,NA,"Southern Garden"
"84","CG5-2021",2022,"Salix richardsonii",2022-05-20,2022-08-03,NA,140,215,NA,"Southern Garden"
"85","KLUANECAM2",2021,"Salix richardsonii",2021-05-18,2021-07-20,2021-09-02,138,201,245,"Southern Garden"
"86","KLUANECAM2",2021,"Salix richardsonii",2021-05-11,NA,2021-09-03,131,NA,246,"Southern Garden"
"87","KLUANECAM2",2021,"Salix richardsonii",2021-05-09,NA,2021-09-01,129,NA,244,"Southern Garden"
"88","KLUANECAM2",2021,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Northern Garden"
"89","KLUANECAM2",2021,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Northern Garden"
"90","KLUANECAM2",2021,"Salix richardsonii",2021-05-19,2021-07-12,2021-07-23,139,193,204,"Northern Garden"
"91","KLUANECAM2",2021,"Salix richardsonii",NA,2021-07-05,2021-07-16,NA,186,197,"Northern Garden"
"92","KLUANECAM2",2022,"Salix richardsonii",2022-05-17,2022-08-13,NA,137,225,NA,"Southern Garden"
"93","KLUANECAM2",2022,"Salix richardsonii",2022-05-18,NA,NA,138,NA,NA,"Southern Garden"
"94","KLUANECAM2",2022,"Salix richardsonii",2022-05-11,NA,NA,131,NA,NA,"Southern Garden"
"95","KLUANECAM2",2022,"Salix richardsonii",2022-05-19,2022-07-24,2022-08-09,139,205,221,"Northern Garden"
"96","KLUANECAM2",2022,"Salix richardsonii",2022-05-19,2022-07-06,2022-07-20,139,187,201,"Northern Garden"
"97","KLUANECAM2",2022,"Salix richardsonii",2022-05-22,2022-07-18,2022-08-12,142,199,224,"Northern Garden"
"98","KLUANECAM2",2022,"Salix richardsonii",2022-05-20,2022-07-16,2022-07-30,140,197,211,"Northern Garden"
"99","KLUANECAM10",2021,"Salix pulchra",2021-05-08,2021-06-24,2021-07-16,128,175,197,"Northern Garden"
"100","KLUANECAM10",2021,"Salix pulchra",NA,NA,NA,NA,NA,NA,"Southern Garden"
"101","KLUANECAM10",2021,"Salix pulchra",2021-05-20,2021-08-12,2021-09-10,140,224,253,"Southern Garden"
"102","KLUANECAM10",2021,"Salix pulchra",2021-05-19,2021-08-10,2021-08-29,139,222,241,"Southern Garden"
"103","KLUANECAM10",2021,"Salix pulchra",NA,NA,2021-07-18,NA,NA,199,"Northern Garden"
"104","KLUANECAM10",2022,"Salix pulchra",2022-05-18,NA,2022-08-04,138,NA,216,"Northern Garden"
"105","KLUANECAM10",2022,"Salix pulchra",2022-05-27,NA,NA,147,NA,NA,"Southern Garden"
"106","KLUANECAM10",2022,"Salix pulchra",2022-05-25,NA,NA,145,NA,NA,"Southern Garden"
"107","KLUANECAM10",2022,"Salix pulchra",2022-05-23,NA,NA,143,NA,NA,"Southern Garden"
"108","KLUANECAM10",2022,"Salix pulchra",2022-05-20,NA,2022-08-05,140,NA,217,"Northern Garden"
"109","KLUANECAM11",2022,"Salix pulchra",NA,2022-08-03,2022-08-08,NA,215,220,"Northern Garden"
"110","CG6-2021",2021,"Salix richardsonii",NA,2021-07-10,2021-09-15,NA,191,258,"Southern Garden"
"111","CG6-2021",2021,"Salix richardsonii",NA,2021-08-22,2021-09-16,NA,234,259,"Southern Garden"
"112","CG6-2021",2021,"Salix richardsonii",NA,2021-08-30,2021-09-21,NA,242,264,"Southern Garden"
"113","CG6-2021",2021,"Salix richardsonii",NA,2021-07-14,2021-09-06,NA,195,249,"Southern Garden"
"114","CG6-2021",2021,"Salix richardsonii",NA,2021-08-22,2021-08-31,NA,234,243,"Southern Garden"
"115","CG6-2021",2021,"Salix richardsonii",NA,2021-08-30,2021-08-10,NA,242,222,"Southern Garden"
"116","CG6-2021",2021,"Salix richardsonii",NA,2021-07-01,2021-07-30,NA,182,211,"Northern Garden"
"117","CG6-2021",2021,"Salix richardsonii",NA,2021-06-28,2021-07-22,NA,179,203,"Northern Garden"
"118","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"119","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"120","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"121","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"122","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"123","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Southern Garden"
"124","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Northern Garden"
"125","CG6-2021",2022,"Salix richardsonii",NA,NA,NA,NA,NA,NA,"Northern Garden"
"126","KLUANECAM3",2021,"Salix richardsonii",2021-05-22,2021-08-05,2021-09-08,142,217,251,"Southern Garden"
"127","KLUANECAM3",2021,"Salix richardsonii",2021-05-20,2021-08-07,2021-09-10,140,219,253,"Southern Garden"
"128","KLUANECAM3",2021,"Salix richardsonii",2021-05-21,2021-08-06,2021-08-31,141,218,243,"Southern Garden"
"129","KLUANECAM3",2021,"Salix richardsonii",2021-05-20,2021-08-08,2021-09-05,140,220,248,"Southern Garden"
"130","KLUANECAM3",2021,"Salix richardsonii",2021-05-22,2021-08-07,2021-09-07,142,219,250,"Southern Garden"
"131","KLUANECAM3",2021,"Salix pulchra",2021-05-19,2021-08-12,2021-07-21,139,224,202,"Northern Garden"
"132","KLUANECAM3",2021,"Salix pulchra",2021-05-15,2021-07-29,2021-08-31,135,210,243,"Southern Garden"
