"","Species","plant_tag_id","sample_id","date_sampled","site_id","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","year","DOY","total_leaf_dry_mass_mg","LDMC_g_g","Plant_height_veg_m","Plant_height_repro_m","Seed_mass_dry_mg","Wood_density_mg_mm3","Species_sex","Lat","Lon","Elevation_m","date","Data_contributor","Data_coPIs","ValueKindName","MONTH"
"40","Salix richardsonii","KP7-2021-SARI-1",106382317,"2021-07-05","KP_low",16.3035511363636,61.3363304494803,30.3056392595781,0.0141056134939927,2.507,11477.7,2.323,12,"Kluane","2021","186",704,0.280813721579577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Salix richardsonii","KP7-2021-SARI-2",106382343,"2021-07-05","KP_low",13.8803361344538,72.0443647987601,31.4648334214701,0.0156923523998644,2.153,8258.8,1.891,12,"Kluane","2021","186",595,0.276358569437994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Salix pulchra","KP1-2021-SAPU-1",106382373,"2021-07-05","KP_low",16.9629343629344,58.9520644603269,33.0779054916986,0.0119269813811627,0.815,4393.4,0.783,12,"Kluane","2021","186",259,0.317791411042945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Salix pulchra","KP6-2021-SAPU",106482783,"2021-07-06","KP_high",16.9619565217391,58.9554629926306,33.0935251798561,0.0119192566485101,1.208,6242,1.112,12,"Kluane","2021","187",368,0.304635761589404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Salix richardsonii","KP7-2021-SARI-1",107572254,"2021-07-19","KP_low",10.588534107402,94.4417791789459,35.8294331773271,0.0169145363580289,1.956,7295.5,1.923,6,"Kluane","2021","200",689,0.352249488752556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Salix pulchra","KP2-2021-SAPU",107572296,"2021-07-19","KP_low",10.5001879699248,95.2363903259877,40.3030303030303,0.0141064427776087,1.357,5586.1,1.32,12,"Kluane","2021","200",532,0.392041267501842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Salix pulchra","KP1-2021-SAPU-1",107572335,"2021-07-19","KP_low",11.2892561983471,88.5797950219619,39.5424836601307,0.0135431918008785,1.252,5464,1.224,12,"Kluane","2021","200",484,0.386581469648562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Salix pulchra","KP1-2021-SAPU-2",107572361,"2021-07-19","KP_low",11.8799011532125,84.1757845543676,38.985228002569,0.0131741343207,1.617,7211.1,1.557,10,"Kluane","2021","200",607,0.375386518243661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Salix richardsonii","KP2-2021-SARI",107572388,"2021-07-19","KP_low",10.80112,92.5829913934851,35.2708803611738,0.0169908305805324,1.832,6750.7,1.772,8,"Kluane","2021","200",625,0.341157205240175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Salix richardsonii","KP7-2021-SARI-2",107572415,"2021-07-19","KP_low",10.5035182679296,95.2061942000232,34.6135831381733,0.0179848236946187,2.206,7762.1,2.135,10,"Kluane","2021","200",739,0.334995466908432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Salix pulchra","KP3-2021-SAPU",107572453,"2021-07-19","KP_mid",10.7559585492228,92.9717231080495,39.5762132604238,0.0141946464987074,1.52,6227.7,1.463,10,"Kluane","2021","200",579,0.380921052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Salix richardsonii","KP3-2021-SARI",107572488,"2021-07-19","KP_mid",11.1458123107972,89.7197953917885,35.0052984811021,0.0166583676610384,2.946,11045.5,2.831,6,"Kluane","2021","200",991,0.336388323150034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Salix pulchra","KP5-2021-SAPU",107572532,"2021-07-19","KP_mid",11.9189504373178,83.9000048921286,36.5282215122471,0.0145785431241133,1.917,8176.4,1.878,10,"Kluane","2021","200",686,0.357850808555034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
