"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes"
"79","IMS","HESp24",NA,"HERSp24",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,40,30,32,NA,NA,NA,NA,NA,NA,NA,NA,"Catkin",NA,NA
"80","IMS","HESp24",NA,"HERSp24",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,56,40,38,47,26,4,NA,NA,NA,NA,NA,NA,NA,NA
"81","AB","HESp29",NA,"HERSp29",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,36,35,32,25,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","IMS","HESp3",NA,"HERSp3",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possible catkin (see photo)",NA,NA
"83","IMS","HESp3",NA,"HERSp3",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,28,29,33,10,15,22,NA,NA,NA,NA,NA,NA,NA,NA
"84","AB","HESp30",NA,"HERSp30",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,25,26,27,22,20,3,NA,NA,NA,NA,NA,NA,NA,NA
"85","AB","HESp30",NA,"HESp30",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,16,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","IMS","HESp4",NA,"HERSp4",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,9,7,6,3,NA,NA,NA,NA,NA,NA,NA,"Herb 10",NA,NA
"87","IMS","HESp4",NA,"HESp4",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,21.53,16.91,12.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","IMS","HESp4",NA,"HESp4",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,15,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","IMS","HESp4",NA,"HESp4",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,32,26,27,37,30,20,NA,NA,NA,NA,NA,NA,NA,NA
"90","IMS","HESp4",NA,"HESp4",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","IMS","HESp5",NA,"HERSp5",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,9,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","CF","HESp6",NA,"HESp6",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,15.35,12.1,12.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","CF","HESp6",NA,"HESp6",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,22,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","CF","HESp6",NA,"HESp6",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,23,21,20,13,14,18,NA,NA,NA,NA,NA,NA,NA,NA
"95","CF","HESp6",NA,"HESp6",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,18,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
