Sample_ID,Match,Species,Sample_location,Sample_location_full,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Year_dead,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Survived_2021,Bed,Row,Column,Notes,Field_notes,Data_notes
K15PSa8,K15PSa8,Salix arctica,Kluane,Kluane Plateau,15/08/2018,15/08/2018,15/08/2020,2015,34,94,NA,0.6,NA,NA,NA,NA,NA,NA,NA,38,6,NA,Alive,NA,NA,0,1,1,1,1,1,12,3,4,NA,,
H15Sa10,H15Sa10,Salix arctica,Qikiqtaruk,QHI,15/07/2022,15/07/2022,15/08/2020,2015,7,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,42,11,NA,Alive,NA,NA,1,1,1,1,1,1,12,1,3,NA,,
H15Sa11,H15Sa11,Salix arctica,Qikiqtaruk,QHI,15/07/2024,15/07/2024,15/08/2020,2015,6.1,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,37,4,NA,Alive,NA,NA,1,1,1,1,1,1,12,5,5,NA,,
H15Sa12,H15Sa12,Salix arctica,Qikiqtaruk,QHI,15/07/2024,15/07/2024,15/08/2020,2015,5.5,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,28,6,NA,Alive,NA,NA,1,1,1,1,1,1,12,4,5,NA,,
H15Sa15,H15Sa15,Salix arctica,Qikiqtaruk,QHI,15/07/2024,15/07/2024,15/08/2020,2015,7.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,33,8,NA,Alive,NA,NA,1,1,1,1,1,1,12,1,5,NA,,
H15Sa18,H15Sa18,Salix arctica,Qikiqtaruk,QHI,15/07/2025,15/07/2025,15/08/2020,2015,39,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,33,5,NA,Alive,NA,NA,1,1,1,1,1,1,12,3,7,NA,,
H15Sa19,H15Sa19,Salix arctica,Qikiqtaruk,QHI,15/07/2025,15/07/2025,15/08/2020,2015,13.2,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,29,7,NA,Alive,NA,NA,1,1,1,1,1,1,12,2,7,NA,,
H15Sa3,H15Sa3,Salix arctica,Qikiqtaruk,QHI,15/07/2021,15/07/2021,15/08/2020,2015,7,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,44,9,NA,Alive,NA,NA,1,1,1,1,1,1,12,3,1,NA,,
H15Sa7,H15Sa7,Salix arctica,Qikiqtaruk,QHI,15/07/2022,15/07/2022,15/08/2020,2015,8.5,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,42,4,NA,Alive,NA,NA,1,1,1,1,1,1,12,4,3,NA,,
H15Sa9,H15Sa9,Salix arctica,Qikiqtaruk,QHI,15/07/2022,15/07/2022,15/08/2020,2015,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31,6,NA,Alive,NA,NA,1,1,1,1,1,1,12,2,3,NA,,
