Bed,SampleID,Bed_old,SampleID_old,Year_planted,Species,Site,Plant_ID_fulcrum,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter ,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,Length_1_mm,Length_2_mm,Length_3_mm,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes_canopy_height_prev_cm,August_2021_notes,July_2021_notes
SW,HESr13,NA,HESr13,2013,Salix richardsonii,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,33,20,35,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,HESr13,NA,HESr13,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,13,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,HESr16,NA,HESr16,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,HESr17,NA,HESr17,2013,Salix richardsonii,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,30,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,HESr17,NA,HESr17,2013,Salix richardsonii,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,40,25,30,15,10,2,NA,NA,NA,NA,NA,Herb 5,NA,NA
IR,HESr17,NA,HESr17,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,20,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB,HESr2,NA,HESr2,2013,Salix richardsonii,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,11.27,10.95,11.05,NA,NA,NA,NA,NA,NA,NA,NA,At base,NA,NA
LB,HESr2,NA,HESr2,2013,Salix richardsonii,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,15,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB,HESr2,NA,HESr2,2013,Salix richardsonii,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,27,24,25,32,10,9,NA,NA,NA,NA,NA,NA,NA,NA
LB,HESr2,NA,HESr2,2013,Salix richardsonii,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,10,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
