"","PhenocamID","ShrubID_Standard","Year","Plants_first_visible_through_snow","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","First_leaf_yellow","Last_leaves_yellow","Species","population","Snow_melt_DOY","Plants_first_visible_through_snow_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","Full_snow_cover_EoS_DOY","First_leaf_bud_burst_DOY","First_leaf_yellow_DOY","Last_leaves_yellow_DOY"
"79","CG6-2021","H18SR10",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-06-28,2021-07-22,"Salix richardsonii","QHI",NA,NA,NA,270,285,NA,179,203
"80","CG6-2021","KP16SR37",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"81","CG6-2021","PC17SR4",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"82","CG6-2021","PC17SR5
",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"83","CG6-2021","KP16SR52",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"84","CG6-2021","KP16SR53
",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"85","CG6-2021","PC17SR6
",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"86","CG6-2021","H17SR15
",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"87","CG6-2021","H18SR10",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix richardsonii","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"88","KLUANECAM3","KLSRC13",2021,NA,2021-04-23,2021-04-26,2021-09-27,NA,2021-10-12,2021-05-22,2021-08-05,2021-09-08,"Salix richardsonii","Kluane",113,NA,116,270,285,142,217,251
"89","KLUANECAM3","KLSRE15",2021,NA,2021-04-24,2021-04-27,2021-09-27,NA,2021-10-12,2021-05-20,2021-08-07,2021-09-10,"Salix richardsonii","Kluane",114,NA,117,270,285,140,219,253
"90","KLUANECAM3","KLSRE14",2021,NA,2021-04-25,2021-04-28,2021-09-27,NA,2021-10-12,2021-05-21,2021-08-06,2021-08-31,"Salix richardsonii","Kluane",115,NA,118,270,285,141,218,243
"91","KLUANECAM3","KLSRE13",2021,NA,2021-04-26,2021-04-29,2021-09-27,NA,2021-10-12,2021-05-20,2021-08-08,2021-09-05,"Salix richardsonii","Kluane",116,NA,119,270,285,140,220,248
"92","KLUANECAM3","KLSRC10",2021,NA,2021-04-27,2021-04-30,2021-09-27,NA,2021-10-12,2021-05-22,2021-08-07,2021-09-07,"Salix richardsonii","Kluane",117,NA,120,270,285,142,219,250
"93","KLUANECAM3","H15SP27",2021,NA,2021-04-28,2021-05-01,2021-09-27,NA,2021-10-12,2021-05-19,2021-08-12,2021-07-21,"Salix pulchra","QHI",118,NA,121,270,285,139,224,202
"94","KLUANECAM3","PC16CESP7",2021,NA,2021-04-29,2021-05-02,2021-09-27,NA,2021-10-12,2021-05-15,2021-07-29,2021-08-31,"Salix pulchra","Kluane",119,NA,122,270,285,135,210,243
