"","PhenocamID","Year","SampleID_standard","Species","population","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","growing_season","Site"
"137","KLUANECAM3",2022,"KP17SP9","Salix pulchra","Southern Garden",110,269,NA,NA,NA,NA
"138","KLUANECAM3",2022,"KP16SP33","Salix pulchra","Southern Garden",110,269,NA,228,NA,NA
"139","KLUANECAM3",2022,"H15SP29","Salix pulchra","Northern Garden",110,269,NA,198,NA,NA
"140","KLUANECAM3",2023,"KLSRC13","Salix richardsonii","Southern Garden",122,NA,143,235,92,NA
"141","KLUANECAM3",2023,"KLSRE15","Salix richardsonii","Southern Garden",122,NA,140,234,94,NA
"142","KLUANECAM3",2023,"KLSRE14","Salix richardsonii","Southern Garden",122,NA,143,227,84,NA
"143","KLUANECAM3",2023,"KLSRE13","Salix richardsonii","Southern Garden",122,NA,NA,NA,NA,NA
"144","KLUANECAM3",2023,"KLSRC10","Salix richardsonii","Southern Garden",122,NA,NA,NA,NA,NA
"145","KLUANECAM3",2023,"H15SP27","Salix pulchra","Northern Garden",122,NA,139,209,70,NA
"146","KLUANECAM3",2023,"PC16CESP7","Salix pulchra","Southern Garden",122,NA,140,210,70,NA
"147","KLUANECAM3",2023,"H17SP10","Salix pulchra","Northern Garden",122,NA,143,NA,NA,NA
"148","KLUANECAM3",2023,"HERSP29","Salix pulchra","Northern Garden",122,NA,138,204,66,NA
"149","KLUANECAM3",2023,"KP17SP9","Salix pulchra","Southern Garden",122,NA,138,199,61,NA
"150","KLUANECAM3",2023,"KP16SP33","Salix pulchra","Southern Garden",122,NA,139,206,67,NA
"151","KLUANECAM3",2023,"H15SP29","Salix pulchra","Northern Garden",122,NA,139,183,44,NA
"152","KLUANECAM4",2021,"KPSR5","Salix richardsonii","Southern Garden",NA,270,NA,220,NA,NA
"153","KLUANECAM4",2021,"KLSPE6","Salix pulchra","Southern Garden",NA,270,NA,222,NA,NA
"154","KLUANECAM4",2021,"KLSRE4","Salix richardsonii","Southern Garden",NA,270,NA,227,NA,NA
