"","Year_planted","Cutting_length","SampleID_standard","Species","Site","max_mean_width_cm","max_canopy_height_cm"
"355",2016,31.7,"KP16SR55","Salix richardsonii","Kluane",NA,NA
"356",2016,46.6,"KP16SR56","Salix richardsonii","Kluane",NA,NA
"357",2016,43.4,"KP16SR57","Salix richardsonii","Kluane",66.5,76
"358",2016,33.2,"KP16SR58","Salix richardsonii","Kluane",65.3,46
"359",2016,45.9,"KP16SR59","Salix richardsonii","Kluane",NA,NA
"360",2016,45.4,"KP16SR60","Salix richardsonii","Kluane",43.25,56
"361",2015,22,"K15PSA1","Salix arctica","Kluane",NA,NA
"362",2015,23,"K15PSA10","Salix arctica","Kluane",13.5,5.2
"363",2015,38,"K15PSA11","Salix arctica","Kluane",30.2,8.1
"364",2015,30,"K15PSA12","Salix arctica","Kluane",33.5,7.1
"365",2015,25,"K15PSA14","Salix arctica","Kluane",NA,NA
"366",2015,26,"K15PSA15","Salix arctica","Kluane",21.35,15.2
"367",2015,17,"K15PSA3","Salix arctica","Kluane",NA,NA
"368",2015,21,"K15PSA4","Salix arctica","Kluane",NA,NA
"369",2015,16,"K15PSA5","Salix arctica","Kluane",NA,NA
"370",2015,29,"K15PSA6","Salix arctica","Kluane",30.6,10.1
"371",2015,23,"K15PSA7","Salix arctica","Kluane",53.75,10.3
"372",2015,28,"K15PSA9","Salix arctica","Kluane",37.05,9.4
"373",2015,42,"H15SA10","Salix arctica","Qikiqtaruk",35.5,6.3
"374",2015,37,"H15SA6","Salix arctica","Qikiqtaruk",NA,NA
"375",2015,42,"H15SA7","Salix arctica","Qikiqtaruk",16,5.6
"376",2015,33,"H15SA8","Salix arctica","Qikiqtaruk",NA,NA
"377",2015,31,"H15SA9","Salix arctica","Qikiqtaruk",10.65,2.2
"378",2015,44,"H15SA3","Salix arctica","Qikiqtaruk",17.5,4.9
"379",2015,34,"H15SA4","Salix arctica","Qikiqtaruk",NA,0.3
"380",2015,43,"H15SA5","Salix arctica","Qikiqtaruk",NA,0.7
"381",2015,46.7,"H15SP1","Salix pulchra","Qikiqtaruk",5.2,6.2
"382",2015,83.1,"H15SP10","Salix pulchra","Qikiqtaruk",11.25,7.1
"383",2015,39.8,"H15SP11","Salix pulchra","Qikiqtaruk",NA,2.6
"384",2015,53.6,"H15SP12","Salix pulchra","Qikiqtaruk",NA,1.5
"385",2015,61,"H15SP13","Salix pulchra","Qikiqtaruk",12.45,13.8
"386",2015,34.6,"H15SP14","Salix pulchra","Qikiqtaruk",NA,16.3
"387",2015,35,"H15SP15","Salix pulchra","Qikiqtaruk",22,21.3
"388",2015,49.6,"H15SP16","Salix pulchra","Qikiqtaruk",NA,17.8
"389",2015,52.8,"H15SP17","Salix pulchra","Qikiqtaruk",NA,19
"390",2015,48,"H15SP18","Salix pulchra","Qikiqtaruk",NA,17.1
"391",2015,52,"H15SP19","Salix pulchra","Qikiqtaruk",9.05,11.1
"392",2015,50.7,"H15SP2","Salix pulchra","Qikiqtaruk",7.25,31
"393",2015,34,"H15SP20","Salix pulchra","Qikiqtaruk",9.85,8.7
"394",2015,51.8,"H15SP21","Salix pulchra","Qikiqtaruk",NA,NA
"395",2015,42.1,"H15SP22","Salix pulchra","Qikiqtaruk",NA,NA
"396",2015,38.9,"H15SP23","Salix pulchra","Qikiqtaruk",9.85,9.5
"397",2015,39.9,"H15SP24","Salix pulchra","Qikiqtaruk",7.35,11.3
"398",2015,33.6,"H15SP25","Salix pulchra","Qikiqtaruk",17.45,9
"399",2015,34,"H15SP26","Salix pulchra","Qikiqtaruk",NA,4.3
"400",2015,490,"H15SP27","Salix pulchra","Qikiqtaruk",22.95,19
"401",2015,255,"H15SP28","Salix pulchra","Qikiqtaruk",NA,NA
"402",2015,373,"H15SP29","Salix pulchra","Qikiqtaruk",4.3,9.6
"403",2015,32.2,"H15SP3","Salix pulchra","Qikiqtaruk",NA,2.1
"404",2015,32,"H15SP30","Salix pulchra","Qikiqtaruk",NA,NA
"405",2015,35.8,"H15SP4","Salix pulchra","Qikiqtaruk",NA,NA
"406",2015,38,"H15SP5","Salix pulchra","Qikiqtaruk",16,9.4
"407",2015,47,"H15SP6","Salix pulchra","Qikiqtaruk",4.6,6.8
"408",2015,39,"H15SP7","Salix pulchra","Qikiqtaruk",NA,NA
"409",2015,47.8,"H15SP8","Salix pulchra","Qikiqtaruk",14.15,17
"410",2015,58.1,"H15SP9","Salix pulchra","Qikiqtaruk",14.45,31.3
"411",2015,35.4,"H15SR1","Salix richardsonii","Qikiqtaruk",NA,NA
"412",2015,39.5,"H15SR10","Salix richardsonii","Qikiqtaruk",NA,NA
"413",2015,27.4,"H15SR11","Salix richardsonii","Qikiqtaruk",NA,NA
"414",2015,43.5,"H15SR12","Salix richardsonii","Qikiqtaruk",NA,1
"415",2015,27.8,"H15SR13","Salix richardsonii","Qikiqtaruk",NA,4.3
"416",2015,32.6,"H15SR14","Salix richardsonii","Qikiqtaruk",NA,NA
"417",2015,36.1,"H15SR15","Salix richardsonii","Qikiqtaruk",NA,NA
"418",2015,40.3,"H15SR16","Salix richardsonii","Qikiqtaruk",NA,NA
"419",2015,49.8,"H15SR17","Salix richardsonii","Qikiqtaruk",NA,NA
"420",2015,40.5,"H15SR18","Salix richardsonii","Qikiqtaruk",NA,NA
"421",2015,35,"H15SR19","Salix richardsonii","Qikiqtaruk",13.25,7.5
"422",2015,42.5,"H15SR2","Salix richardsonii","Qikiqtaruk",NA,NA
"423",2015,40.5,"H15SR20","Salix richardsonii","Qikiqtaruk",6.5,9.2
"424",2015,39.5,"H15SR21","Salix richardsonii","Qikiqtaruk",NA,NA
"425",2015,29.6,"H15SR22","Salix richardsonii","Qikiqtaruk",NA,NA
"426",2015,36.5,"H15SR23","Salix richardsonii","Qikiqtaruk",NA,NA
"427",2015,36.7,"H15SR24","Salix richardsonii","Qikiqtaruk",NA,NA
"428",2015,30,"H15SR25","Salix richardsonii","Qikiqtaruk",NA,NA
"429",2015,60.8,"H15SR26","Salix richardsonii","Qikiqtaruk",NA,NA
"430",2015,38.9,"H15SR27","Salix richardsonii","Qikiqtaruk",NA,NA
"431",2015,44.2,"H15SR28","Salix richardsonii","Qikiqtaruk",NA,NA
"432",2015,52.6,"H15SR29","Salix richardsonii","Qikiqtaruk",8.5,6.4
"433",2015,28.9,"H15SR3","Salix richardsonii","Qikiqtaruk",NA,1.7
"434",2015,34.1,"H15SR30","Salix richardsonii","Qikiqtaruk",NA,NA
"435",2015,39.2,"H15SR4","Salix richardsonii","Qikiqtaruk",NA,NA
"436",2015,41.7,"H15SR5","Salix richardsonii","Qikiqtaruk",18.15,20.6
"437",2015,37,"H15SR6","Salix richardsonii","Qikiqtaruk",NA,NA
"438",2015,29.2,"H15SR7","Salix richardsonii","Qikiqtaruk",NA,NA
"439",2015,33.9,"H15SR8","Salix richardsonii","Qikiqtaruk",NA,NA
"440",2015,35.9,"H15SR9","Salix richardsonii","Qikiqtaruk",NA,NA
"441",2015,34,"K15PSP10","Salix pulchra","Kluane",NA,NA
"442",2015,33.8,"K15PSP6","Salix pulchra","Kluane",NA,NA
"443",2015,32,"K15PSP7","Salix pulchra","Kluane",NA,NA
"444",2015,30.3,"K15PSP8","Salix pulchra","Kluane",NA,NA
"445",2015,36.7,"K15PSP9","Salix pulchra","Kluane",NA,NA
"446",2015,32.7,"KPSP11","Salix pulchra","Kluane",NA,NA
"447",2015,26.9,"KPSP12","Salix pulchra","Kluane",NA,NA
"448",2015,33.4,"KPSP13","Salix pulchra","Kluane",NA,NA
"449",2015,32.6,"KPSP14","Salix pulchra","Kluane",NA,NA
"450",2015,37,"KPSP15","Salix pulchra","Kluane",NA,NA
"451",2015,31.5,"K15PSR10","Salix richardsonii","Kluane",NA,NA
"452",2015,27.2,"K15PSR11","Salix richardsonii","Kluane",NA,NA
"453",2015,32.7,"K15PSR12","Salix richardsonii","Kluane",NA,NA
"454",2015,29.4,"K15PSR14","Salix richardsonii","Kluane",NA,NA
"455",2015,31.2,"K15PSR6","Salix richardsonii","Kluane",NA,NA
"456",2015,21.9,"K15PSR8","Salix richardsonii","Kluane",NA,NA
"457",2015,39.2,"K15PSR9","Salix richardsonii","Kluane",NA,NA
"458",2015,22.8,"K15SSR1","Salix richardsonii","Kluane",NA,NA
"459",2015,47.3,"K15SSR2","Salix richardsonii","Kluane",NA,NA
"460",2015,50.3,"K15SSR3","Salix richardsonii","Kluane",NA,NA
"461",2015,45.5,"K15SSR4","Salix richardsonii","Kluane",NA,NA
"462",2015,31.1,"K15SSR5","Salix richardsonii","Kluane",NA,NA
"463",2015,42.5,"K15SSR6","Salix richardsonii","Kluane",NA,NA
"464",2015,41.4,"K15SSR7","Salix richardsonii","Kluane",NA,NA
"465",2015,61.1,"K15SSR9","Salix richardsonii","Kluane",NA,NA
"466",2015,32,"K15ESP1","Salix pulchra","Kluane",NA,NA
"467",2015,30.3,"K15ESP10","Salix pulchra","Kluane",NA,NA
"468",2015,30,"K15ESP2","Salix pulchra","Kluane",NA,NA
"469",2015,48.9,"K15ESP3","Salix pulchra","Kluane",NA,NA
"470",2015,50.6,"K15ESP4","Salix pulchra","Kluane",NA,NA
"471",2015,42.1,"K15ESP5","Salix pulchra","Kluane",NA,NA
"472",2015,24.1,"K15ESP7","Salix pulchra","Kluane",NA,NA
"473",2015,29.9,"K15ESP8","Salix pulchra","Kluane",NA,NA
"474",2015,22.8,"K15ESP9","Salix pulchra","Kluane",NA,NA
"475",2015,45.7,"K15PSP1","Salix pulchra","Kluane",NA,NA
"476",2015,29.7,"K15PSP2","Salix pulchra","Kluane",NA,NA
"477",2015,37.6,"K15PSP3","Salix pulchra","Kluane",NA,NA
"478",2015,39.3,"K15PSP5","Salix pulchra","Kluane",NA,NA
"479",2015,37,"K15PSR1","Salix richardsonii","Kluane",NA,NA
"480",2015,33.1,"K15PSR2","Salix richardsonii","Kluane",NA,NA
"481",2015,38.4,"K15PSR3","Salix richardsonii","Kluane",NA,NA
"482",2015,29.9,"K15PSR4","Salix richardsonii","Kluane",NA,NA
"483",2015,34.9,"K15PSR5","Salix richardsonii","Kluane",NA,NA
"484",2014,59.9,"KPSR1","Salix richardsonii","Kluane",NA,NA
"485",2014,57.3,"KPSR10","Salix richardsonii","Kluane",NA,NA
"486",2014,55.8,"KPSR2","Salix richardsonii","Kluane",NA,NA
"487",2014,56.5,"KPSR4","Salix richardsonii","Kluane",NA,NA
"488",2014,62.3,"KPSR5","Salix richardsonii","Kluane",97.25,54
"489",2014,53.6,"KPSR6","Salix richardsonii","Kluane",NA,NA
"490",2014,63.2,"KPSR7","Salix richardsonii","Kluane",NA,NA
"491",2014,43.2,"KPSR8","Salix richardsonii","Kluane",NA,NA
"492",2014,62,"KPSR9","Salix richardsonii","Kluane",NA,NA
"493",2014,111,"HERSP1","Salix pulchra","Qikiqtaruk",NA,NA
"494",2014,56,"HERSP10","Salix pulchra","Qikiqtaruk",NA,NA
"495",2014,54.3,"HERSP11","Salix pulchra","Qikiqtaruk",28.75,15.9
"496",2014,57.8,"HERSP12","Salix pulchra","Qikiqtaruk",34.7,21
"497",2014,62.7,"HERSP13","Salix pulchra","Qikiqtaruk",NA,NA
"498",2014,72.5,"HERSP14","Salix pulchra","Qikiqtaruk",5.65,3.3
"499",2014,53.7,"HERSP15","Salix pulchra","Qikiqtaruk",NA,NA
"500",2014,63.9,"HERSP16","Salix pulchra","Qikiqtaruk",NA,NA
"501",2014,55.7,"HERSP17","Salix pulchra","Qikiqtaruk",NA,NA
"502",2014,46,"HERSP18","Salix pulchra","Qikiqtaruk",NA,NA
"503",2014,61.9,"HERSP19","Salix pulchra","Qikiqtaruk",NA,NA
"504",2014,84.5,"HERSP2","Salix pulchra","Qikiqtaruk",NA,NA
"505",2014,56.4,"HERSP20","Salix pulchra","Qikiqtaruk",NA,NA
"506",2014,47.6,"HERSP21","Salix pulchra","Qikiqtaruk",NA,NA
"507",2014,71.5,"HERSP22","Salix pulchra","Qikiqtaruk",NA,NA
"508",2014,49.3,"HERSP23","Salix pulchra","Qikiqtaruk",NA,NA
"509",2014,54.5,"HERSP24","Salix pulchra","Qikiqtaruk",25.95,10.6
"510",2014,58.4,"HERSP25","Salix pulchra","Qikiqtaruk",NA,NA
"511",2014,62.3,"HERSP26","Salix pulchra","Qikiqtaruk",NA,NA
"512",2014,45.5,"HERSP27","Salix pulchra","Qikiqtaruk",NA,NA
"513",2014,52.3,"HERSP28","Salix pulchra","Qikiqtaruk",NA,NA
"514",2014,45.9,"HERSP29","Salix pulchra","Qikiqtaruk",20.3,12.9
"515",2014,68.3,"HERSP3","Salix pulchra","Qikiqtaruk",37.5,16.8
"516",2014,55.2,"HERSP30","Salix pulchra","Qikiqtaruk",NA,NA
"517",2014,55.9,"HERSP4","Salix pulchra","Qikiqtaruk",8.85,7.7
"518",2014,54.8,"HERSP5","Salix pulchra","Qikiqtaruk",NA,NA
"519",2014,61.6,"HERSP6","Salix pulchra","Qikiqtaruk",NA,NA
"520",2014,69.4,"HERSP7","Salix pulchra","Qikiqtaruk",NA,NA
"521",2014,53.8,"HERSP8","Salix pulchra","Qikiqtaruk",NA,NA
"522",2014,53.2,"HERSP9","Salix pulchra","Qikiqtaruk",NA,NA
"523",2014,55,"KLSPS1","Salix pulchra","Kluane",NA,NA
"524",2014,52,"KLSPS10","Salix pulchra","Kluane",NA,NA
"525",2014,56,"KLSPS12","Salix pulchra","Kluane",NA,NA
"526",2014,60,"KLSPS13","Salix pulchra","Kluane",NA,NA
"527",2014,52,"KLSPS14","Salix pulchra","Kluane",NA,NA
"528",2014,56,"KLSPS15","Salix pulchra","Kluane",NA,NA
"529",2014,58,"KLSPS16","Salix pulchra","Kluane",NA,NA
"530",2014,47,"KLSPS17","Salix pulchra","Kluane",NA,NA
"531",2014,58,"KLSPS18","Salix pulchra","Kluane",NA,NA
"532",2014,53,"KLSPS19","Salix pulchra","Kluane",NA,NA
"533",2014,54,"KLSPS2","Salix pulchra","Kluane",NA,NA
"534",2014,44,"KLSPS20","Salix pulchra","Kluane",NA,NA
"535",2014,51,"KLSPS3","Salix pulchra","Kluane",NA,NA
"536",2014,56,"KLSPS4","Salix pulchra","Kluane",NA,NA
"537",2014,56,"KLSPS5","Salix pulchra","Kluane",NA,NA
"538",2014,58,"KLSPS6","Salix pulchra","Kluane",NA,NA
"539",2014,51,"KLSPS7","Salix pulchra","Kluane",NA,NA
"540",2014,50,"KLSPS8","Salix pulchra","Kluane",NA,NA
