"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Sample_ID","Sample_age"
"64","H15SP13",37,42,44,8,11,2016,"Common_garden","Northern","Salix pulchra",41,"CF",2015,13.8,NA,NA,NA,53,47,10,36.6666666666667,NA,NA,NA,NA,NA,1
"65","H15SP14",48,19,18,8,11,2016,"Common_garden","Northern","Salix pulchra",28.3333333333333,"CF",2015,16.3,NA,NA,NA,19,15,NA,NA,NA,NA,NA,NA,NA,1
"66","H15SP15",31,41,40,8,11,2016,"Common_garden","Northern","Salix pulchra",37.3333333333333,"CF",2015,21.3,NA,NA,NA,46,30,NA,NA,NA,NA,NA,NA,NA,1
"67","H15SP16",33,32,32,8,11,2016,"Common_garden","Northern","Salix pulchra",32.3333333333333,"CF",2015,17.8,NA,NA,NA,16,14,6,12,NA,NA,NA,NA,NA,1
"68","H15SP17",27,24,16,8,11,2016,"Common_garden","Northern","Salix pulchra",22.3333333333333,"CF",2015,19,NA,NA,NA,18,15,8,13.6666666666667,NA,NA,NA,NA,NA,1
"69","H15SP18",46,44,35,8,11,2016,"Common_garden","Northern","Salix pulchra",41.6666666666667,"CF",2015,10.6,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,1
"70","H15SP19",35,27,30,8,11,2016,"Common_garden","Northern","Salix pulchra",30.6666666666667,"CF",2015,5.3,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,1
"71","H15SP2",17,21,14,8,11,2016,"Common_garden","Northern","Salix pulchra",17.3333333333333,"IMS",2015,31,NA,NA,NA,23,22,18,21,NA,NA,NA,NA,NA,1
"72","H15SP20",33,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"CF",2015,3.2,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,1
"73","H15SP21",NA,NA,NA,8,11,2016,"Common_garden","Northern","Salix pulchra",NA,"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
